cas,chemical_name,wave,true_cameo_groups,original_selection_status,phase6_status,review134_status,final_decision,final_reason,in_A_426,in_B_259
1031-07-8,ENDOSULFAN SULFATE,,27;31;34,UNSUPPORTED,,,REVIEW,"Phase3 REVIEW(근거 빈약, true_groups 조합 (27, 31, 34)은 유일하나 §10 실질근거 없음(자료없음뿐) — group)",True,False
1031-47-6,TRIAMIPHOS,,14;17;27,UNSUPPORTED,,,REVIEW,"Phase3 REVIEW(근거 빈약, true_groups 조합 (14, 17, 27)은 유일하나 §10 실질근거 없음(자료없음뿐) — group)",True,False
60-29-7,ETHYL ETHER,,28,KEEP_MANDATORY,,,KEEP,curriculum/evaluation 근거(커리큘럼 실사용 근거: 유기화학 / 추출 용매(과산화물 형성주의)),True,True
104-46-1,ANETHOLE,,28;34,REVIEW,,,REVIEW,"Phase3 REVIEW(근거 빈약, true_groups 조합 (28, 34)은 유일하나 §10 실질근거 없음(자료없음뿐) — group은 sc)",True,True
108-60-1,BIS(2-CHLORO-1-METHYLETHYL)ETHER,,28;31,REVIEW,,,KEEP_EMPIRICAL,"자기 §10 실질근거(Phase3, metal)",True,True
109-53-5,VINYL ISOBUTYL ETHER,,28;34;56,REVIEW,,,REVIEW,"Phase3 REVIEW(근거 빈약, true_groups 조합 (28, 34, 56)은 유일하나 §10 실질근거 없음(자료없음뿐) — group)",True,True
109-59-1,ETHYLENE GLYCOL ISOPROPYL ETHER,,8;28,REVIEW,,,REVIEW,"Phase3 REVIEW(근거 빈약, true_groups 조합 (8, 28)은 유일하나 §10 실질근거 없음(자료없음뿐) — group은 sca)",True,True
101-80-4,"4,4&#39;-DIAMINODIPHENYL ETHER",,13;28,UNSUPPORTED,,,REVIEW,"Phase3 REVIEW(근거 빈약, true_groups 조합 (13, 28)은 유일하나 §10 실질근거 없음(자료없음뿐) — group은 sc)",True,False
103-50-4,DIBENZYL ETHER,,28,UNSUPPORTED,,,REVIEW,"Phase3 REVIEW(근거 빈약, 동일 true_groups=(28,) 물질 2종 전부 §10 실질근거 없음 — 그중 1순위지만 근거 자체가 )",True,False
12125-01-8,AMMONIUM FLUORIDE,,29;60,UNSUPPORTED,,,KEEP_EMPIRICAL,"자기 §10 실질근거(Phase3, combustible_reducing;metal;water)",True,False
1333-83-1,"SODIUM BIFLUORIDE, SOLID",,29;60;68,UNSUPPORTED,,,KEEP_EMPIRICAL,"자기 §10 실질근거(Phase3, combustible_reducing;metal;water)",True,False
121-17-5,3-NITRO-4-CHLOROBENZOTRIFLUORIDE,,16;30;46,KEEP_COVERAGE,,,KEEP_COVERAGE,그룹 내 대표물질 희소(<=2종) — Phase1,True,True
107-04-0,1-CHLORO-2-BROMOETHANE,,31,REVIEW,,,KEEP_EMPIRICAL,"자기 §10 실질근거(Phase3, metal)",True,True
107-81-3,2-BROMOPENTANE,,31,REVIEW,RETAIN_RETRIEVAL,,KEEP_RETRIEVAL_DIAGNOSTIC,"426 자기청크 hit_rate@10=0.9667(diagnostic, Wave1파생)",True,False
100-14-1,"BENZENE, 1-(CHLOROMETHYL)-4-NITRO-",,31;46,UNSUPPORTED,,,REVIEW,"Phase3 REVIEW(근거 빈약, true_groups 조합 (31, 46)은 유일하나 §10 실질근거 없음(자료없음뿐) — group은 sc)",True,False
10222-01-2,"2,2-DIBROMO-3-NITRILOPROPIONAMIDE",,12;31;45,UNSUPPORTED,,,REVIEW,"Phase3 REVIEW(근거 빈약, true_groups 조합 (12, 31, 45)은 유일하나 §10 실질근거 없음(자료없음뿐) — group)",True,False
1024-57-3,HEPTACHLOR EPOXIDE,,26;31;34,UNSUPPORTED,,,REVIEW,"Phase3 REVIEW(근거 빈약, true_groups 조합 (26, 31, 34)은 유일하나 §10 실질근거 없음(자료없음뿐) — group)",True,False
10311-84-9,DIALIFOR,,12;27;31,UNSUPPORTED,,,REVIEW,"Phase3 REVIEW(근거 빈약, true_groups 조합 (12, 27, 31)은 유일하나 §10 실질근거 없음(자료없음뿐) — group)",True,False
105-48-6,ISOPROPYL CHLOROACETATE,,27;31,UNSUPPORTED,,,KEEP_EMPIRICAL,"자기 §10 실질근거(Phase3, metal;water)",True,False
10241-05-1,MOLYBDENUM PENTACHLORIDE,,32,UNSUPPORTED,,,KEEP_EMPIRICAL,"자기 §10 실질근거(Phase3, metal;water)",True,False
118-52-5,"1,3-DICHLORO-5,5-DIMETHYLHYDANTOIN",,7;32;50,UNSUPPORTED,,,KEEP_EMPIRICAL,"자기 §10 실질근거(Phase3, combustible_reducing;water)",True,False
110-54-3,HEXANE,,33,KEEP_MANDATORY,,,KEEP,curriculum/evaluation 근거(커리큘럼 실사용 근거: 유기화학 / 추출 용매),True,True
112-95-8,N-EICOSANE,,33,UNSUPPORTED,,,KEEP_EMPIRICAL,"자기 §10 실질근거(Phase3, combustible_reducing;water)",True,False
12002-43-6,GILSONITE,,33;35,UNSUPPORTED,,,KEEP_EMPIRICAL,"자기 §10 실질근거(Phase3, combustible_reducing;water)",True,False
123-01-3,DODECYLBENZENE,,33;35,UNSUPPORTED,RETAIN_RETRIEVAL,,KEEP_RETRIEVAL_DIAGNOSTIC,"426 자기청크 hit_rate@10=0.85(diagnostic, Wave1파생)",True,False
1333-86-4,CARBON BLACK,,33;59,UNSUPPORTED,,,REVIEW,"Phase3 REVIEW(근거 빈약, 동일 true_groups=(33, 59) 물질 2종 전부 §10 실질근거 없음 — 그중 1순위지만 근거 자)",True,False
1338-02-9,COPPER NAPHTHENATE,,33;61,UNSUPPORTED,RETAIN_RETRIEVAL,,KEEP_RETRIEVAL_DIAGNOSTIC,"426 자기청크 hit_rate@10=0.95(diagnostic, Wave1파생)",True,False
151-21-3,"DODECYL SULFATE, [SODIUM SALT]",,33;61,UNSUPPORTED,,,KEEP_EMPIRICAL,"자기 §10 실질근거(Phase3, combustible_reducing;water)",True,False
105-87-3,GERANYL ACETATE,,27;34,REVIEW,,,REVIEW,"Phase3 REVIEW(근거 빈약, true_groups 조합 (27, 34)은 유일하나 §10 실질근거 없음(자료없음뿐) — group은 sc)",True,True
1025-15-6,TRIALLYL ISOCYANURATE,,34;37,KEEP_COVERAGE,,,KEEP_COVERAGE,그룹 내 대표물질 희소(<=2종) — Phase1,True,True
108-88-3,TOLUENE,,35,KEEP_MANDATORY,,,KEEP,curriculum/evaluation 근거(커리큘럼 실사용 근거: 유기화학 / 재결정/추출),True,True
115-86-6,TRIPHENYL PHOSPHATE,,27;35,REVIEW,,,REVIEW,"Phase3 REVIEW(근거 빈약, true_groups 조합 (27, 35)은 유일하나 §10 실질근거 없음(자료없음뿐) — group은 sc)",True,True
102-08-9,THIOCARBANILIDE,,12;35;64,UNSUPPORTED,,,KEEP_EMPIRICAL,"자기 §10 실질근거(Phase3, combustible_reducing;metal;water)",True,False
102-54-5,FERROCENE,,35;49,UNSUPPORTED,,,REVIEW,"Phase3 REVIEW(근거 빈약, true_groups 조합 (35, 49)은 유일하나 §10 실질근거 없음(자료없음뿐) — group은 sc)",True,False
104-72-3,N-DECYLBENZENE,,35,UNSUPPORTED,,,KEEP_EMPIRICAL,"자기 §10 실질근거(Phase3, combustible_reducing;water)",True,False
104-88-1,4-CHLOROBENZALDEHYDE,,9;16;35,UNSUPPORTED,,,KEEP_EMPIRICAL,"자기 §10 실질근거(Phase3, combustible_reducing;water)",True,False
114-49-8,SCOPOLAMINE HYDROBROMIDE,,8;26;27;35;60,UNSUPPORTED,,,KEEP_EMPIRICAL,"자기 §10 실질근거(Phase3, combustible_reducing;water)",True,False
101-68-8,"DIPHENYLMETHANE-4,4&#39;-DIISOCYANATE",,37,KEEP_COVERAGE,,,KEEP_COVERAGE,그룹 내 대표물질 희소(<=2종) — Phase1,True,True
67-64-1,ACETONE,,38,KEEP_MANDATORY,,,KEEP,curriculum/evaluation 근거(커리큘럼 실사용 근거: 유기화학 / 세척/추출 용매),True,True
117-39-5,QUERCETIN,,38;55,REVIEW,,,KEEP_EMPIRICAL,"자기 §10 실질근거(Phase3, combustible_reducing;metal;water)",True,True
119-53-9,BENZOIN,,8;35;38,REVIEW,,,KEEP_EMPIRICAL,"자기 §10 실질근거(Phase3, combustible_reducing;water)",True,True
102-01-2,ACETOACETANILIDE,,12;13;38,UNSUPPORTED,,,KEEP_EMPIRICAL,"자기 §10 실질근거(Phase3, combustible_reducing;water)",True,False
106-51-4,BENZOQUINONE,,38,UNSUPPORTED,,,KEEP_EMPIRICAL,"자기 §10 실질근거(Phase3, metal)",True,False
107-70-0,4-METHOXY-4-METHYLPENTAN-2-ONE,,28;38,UNSUPPORTED,,,REVIEW,"Phase3 REVIEW(근거 빈약, true_groups 조합 (28, 38)은 유일하나 §10 실질근거 없음(자료없음뿐) — group은 sc)",True,False
110-13-4,"2,5-HEXANEDIONE",,38,UNSUPPORTED,REVIEW,REVIEW_SUPPORTED,KEEP_RETRIEVAL_DIAGNOSTIC,PHASE7 신규평가셋에서 자기청크 hit_rate>=0.5(diagnostic),True,False
16940-66-2,SODIUM BOROHYDRIDE,,18;39;68,KEEP_MANDATORY,,,KEEP,curriculum/evaluation 근거(커리큘럼 실사용 근거: 유기화학 / 환원반응),True,True
102-67-0,TRIPROPYLALUMINUM,,39,UNSUPPORTED,,,REVIEW,"Phase3 REVIEW(근거 빈약, true_groups 조합 (39,)은 유일하나 §10 실질근거 없음(자료없음뿐) — group은 scarc)",True,False
7440-09-7,POTASSIUM,,40,REVIEW,RETAIN_COVERAGE,,KEEP_COVERAGE,259 기준 재계산시 그룹40 대표물질 <=2종(누적효과),True,False
7439-93-2,LITHIUM,,40,UNSUPPORTED,,,KEEP_EMPIRICAL,"자기 §10 실질근거(Phase3, water)",True,False
7440-66-6,ZINC ASHES,,41,KEEP_MANDATORY,,,KEEP,curriculum/evaluation 근거(커리큘럼 실사용 근거: 물리화학 / 갈바니 전지(아연)),True,True
7439-95-4,MAGNESIUM,,41,REVIEW,RETAIN_RETRIEVAL,,KEEP_RETRIEVAL_DIAGNOSTIC,"426 자기청크 hit_rate@10=0.9(diagnostic, Wave1파생)",True,False
7440-02-0,NICKEL,,41,REVIEW,REVIEW,REVIEW_SUPPORTED,KEEP_RETRIEVAL_DIAGNOSTIC,PHASE7 신규평가셋에서 자기청크 hit_rate>=0.5(diagnostic),True,False
7440-21-3,"SILICON POWDER, AMORPHOUS",,41,REVIEW,REVIEW,REVIEW_SUPPORTED,KEEP_RETRIEVAL_DIAGNOSTIC,PHASE7 신규평가셋에서 자기청크 hit_rate>=0.5(diagnostic),True,False
7440-25-7,TANTALUM (METAL AND OXIDE DUST),,41,REVIEW,RETAIN_RETRIEVAL,,KEEP_RETRIEVAL_DIAGNOSTIC,"426 자기청크 hit_rate@10=0.9333(diagnostic, Wave1파생)",True,False
7429-90-5,"ALUMINUM POWDER, COATED",,41,UNSUPPORTED,REVIEW,REVIEW_NOT_TESTED,REVIEW,"PHASE1~7 어느 평가셋에도 등장 안 함 — 근거 없음(불확실, REMOVE 아님)",True,False
7439-89-6,"IRON, [POWDERED]",,41,UNSUPPORTED,REVIEW,REVIEW_UNSUPPORTED,REVIEW,"PHASE7 평가셋에 등장했으나 hit_rate<0.5 — 근거 불충분, 확정 보류",True,False
7440-50-8,COPPER,,42,KEEP_MANDATORY,,,KEEP,curriculum/evaluation 근거(커리큘럼 실사용 근거: 물리화학 / 갈바니 전지(구리)),True,True
10112-91-1,MERCUROUS CHLORIDE,,42;47,UNSUPPORTED,,,KEEP_EMPIRICAL,"자기 §10 실질근거(Phase3, combustible_reducing;metal;water)",True,False
