cas,chemical_name,phase4_status,phase4_reason,merge_cluster_id,representative_cas,true_cameo_groups,group_names,in_426,in_259,n_gold_queries,n_queries_dropped_from_259,hit_rate_10_426,mean_rank_426,mrr_426,R_tier,E_score,has_own_s10_evidence,has_own_s2_content,C_scarce_in_259,scarce_groups_259,D_cluster_total_size,S_data_available,safety_flag,phase6_status,phase6_reason,scenario_selection_only,scenario_selection_plus_retrieval,scenario_retrieval_heavy,scenario_coverage_heavy,scenario_stable,scenario_retain_count
10294-26-5,SILVER SULFATE,REMOVE_CONFIRMED,"동일 그룹조합((42, 47)) 대표물질 10112-91-1(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",,10112-91-1,42;47,"Metals, Less Reactive agents;Non-Redox-Active Inorganic Compounds",True,False,20,0,0.9,4.5,0.4497,HIGH,1,False,True,False,,2,True,NOT_CHECKED,RETAIN_RETRIEVAL,426에서 자기 청크 hit_rate@10=0.9(n=20) — 실제 검색 기여 확인됨,0.38,0.67,0.83,0.33,False,2
1304-82-1,BISMUTH TELLURIDE,REMOVE_CONFIRMED,"동일 그룹조합((42,)) 대표물질 7439-92-1(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",,7439-92-1,42,"Metals, Less Reactive agents",True,False,50,20,0.98,3.6,0.4365,HIGH,0,False,False,False,,2,True,NOT_CHECKED,RETAIN_RETRIEVAL,426에서 자기 청크 hit_rate@10=0.98(n=50) — 실제 검색 기여 확인됨,0.18,0.57,0.78,0.28,False,2
1002-89-7,AMMONIUM STEARATE,REMOVE_CONFIRMED,"동일 그룹조합((47,)) 대표물질 10361-37-2(PHASE1_KEEP_MANDATORY)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",,10361-37-2,47,Non-Redox-Active Inorganic Compounds,True,False,70,20,1.0,1.6,0.7345,HIGH,1,False,True,False,,2,True,NOT_CHECKED,RETAIN_RETRIEVAL,426에서 자기 청크 hit_rate@10=1.0(n=70) — 실제 검색 기여 확인됨,0.38,0.67,0.83,0.33,False,2
10025-73-7,CHROMIC CHLORIDE,REMOVE_CONFIRMED,"동일 그룹조합((47,)) 대표물질 10361-37-2(PHASE1_KEEP_MANDATORY)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",,10361-37-2,47,Non-Redox-Active Inorganic Compounds,True,False,30,0,0.9667,3.93,0.2823,HIGH,1,False,True,False,,2,True,NOT_CHECKED,RETAIN_RETRIEVAL,426에서 자기 청크 hit_rate@10=0.9667(n=30) — 실제 검색 기여 확인됨,0.38,0.67,0.83,0.33,False,2
10101-63-0,LEAD IODIDE,REMOVE_CONFIRMED,"동일 그룹조합((47,)) 대표물질 10361-37-2(PHASE1_KEEP_MANDATORY)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",,10361-37-2,47,Non-Redox-Active Inorganic Compounds,True,False,30,0,0.9333,4.07,0.509,HIGH,1,False,True,False,,2,True,NOT_CHECKED,RETAIN_RETRIEVAL,426에서 자기 청크 hit_rate@10=0.9333(n=30) — 실제 검색 기여 확인됨,0.38,0.67,0.83,0.33,False,2
10102-50-8,FERROUS ARSENATE,REMOVE_CONFIRMED,"동일 그룹조합((47,)) 대표물질 10361-37-2(PHASE1_KEEP_MANDATORY)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",,10361-37-2,47,Non-Redox-Active Inorganic Compounds,True,False,10,10,1.0,3.3,0.325,HIGH,1,False,True,False,,2,True,NOT_CHECKED,RETAIN_RETRIEVAL,426에서 자기 청크 hit_rate@10=1.0(n=10) — 실제 검색 기여 확인됨,0.38,0.67,0.83,0.33,False,2
10034-82-9,SODIUM CHROMATE TETRAHYDRATE,REMOVE_CONFIRMED,"동일 그룹조합((50, 61)) 대표물질 14018-95-2(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",,14018-95-2,50;61,"Oxidizing Agents, Strong;Salts, Basic",True,False,30,10,1.0,1.83,0.7181,HIGH,1,False,True,False,,2,True,NOT_CHECKED,RETAIN_RETRIEVAL,426에서 자기 청크 hit_rate@10=1.0(n=30) — 실제 검색 기여 확인됨,0.38,0.67,0.83,0.33,False,2
10048-95-0,SODIUM ARSENATE HEPTAHYDRATE,REMOVE_CONFIRMED,"동일 그룹조합((51, 61)) 대표물질 13718-26-8(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",,13718-26-8,51;61,"Oxidizing Agents, Weak;Salts, Basic",True,False,70,30,1.0,1.81,0.6845,HIGH,1,False,True,False,,2,True,NOT_CHECKED,RETAIN_RETRIEVAL,426에서 자기 청크 hit_rate@10=1.0(n=70) — 실제 검색 기여 확인됨,0.38,0.67,0.83,0.33,False,2
10102-49-5,FERRIC ARSENATE,REMOVE_CONFIRMED,"동일 그룹조합((51, 61)) 대표물질 13718-26-8(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",,13718-26-8,51;61,"Oxidizing Agents, Weak;Salts, Basic",True,False,50,10,0.9,3.44,0.4962,HIGH,1,False,True,False,,2,True,NOT_CHECKED,RETAIN_RETRIEVAL,426에서 자기 청크 hit_rate@10=0.9(n=50) — 실제 검색 기여 확인됨,0.38,0.67,0.83,0.33,False,2
101-02-0,TRIPHENYL PHOSPHITE,REMOVE_CONFIRMED,"동일 그룹조합((59, 66)) 대표물질 301-13-3(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",,301-13-3,59;66,"Reducing Agents, Weak;Sulfonates, Phosphonates, and Thiophosphonates, Organic",True,False,20,10,0.95,2.9,0.6506,HIGH,1,False,True,False,,2,True,NOT_CHECKED,RETAIN_RETRIEVAL,426에서 자기 청크 hit_rate@10=0.95(n=20) — 실제 검색 기여 확인됨,0.38,0.67,0.83,0.33,False,2
10102-20-2,SODIUM TELLURITE,REMOVE_CONFIRMED,"동일 그룹조합((59, 61)) 대표물질 10026-17-2(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",,10026-17-2,59;61,"Reducing Agents, Weak;Salts, Basic",True,False,70,10,1.0,1.56,0.7357,HIGH,1,False,True,False,,2,True,NOT_CHECKED,RETAIN_RETRIEVAL,426에서 자기 청크 hit_rate@10=1.0(n=70) — 실제 검색 기여 확인됨,0.38,0.67,0.83,0.33,False,2
10431-47-7,POTASSIUM SELENITE,REMOVE_CONFIRMED,"동일 그룹조합((65,)) 대표물질 13718-59-7(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",,13718-59-7,65,Sulfite and Thiosulfate Salts,True,False,0,0,,,,NO_DATA,1,False,True,False,,2,True,NOT_CHECKED,REVIEW,gold_pair.jsonl에 이 물질 관련 질의가 전혀 없어 retrieval 근거 자체가 없음(불확실 — 강제판정 안 함),0.38,0.46,0.41,0.26,True,0
7440-23-5,SODIUM,REMOVE_CONFIRMED,"동일 그룹조합((40,)) 대표물질 7439-93-2(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",,7439-93-2,40,"Metals, Alkali, Very Active",True,False,0,0,,,,NO_DATA,1,False,True,True,40,2,True,NOT_CHECKED,RETAIN_COVERAGE,259 기준 재계산 시 소속 그룹(40)이 신규로 대표물질 <=2종(누적 제거 효과) — 개별판단이 놓친 부분,0.78,0.66,0.51,0.86,True,4
7440-43-9,CADMIUM,REMOVE_CONFIRMED,"동일 그룹조합((41,)) 대표물질 7440-47-3(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",,7440-47-3,41,"Metals, Elemental and Powder, Active",True,False,0,0,,,,NO_DATA,1,False,True,False,,2,True,NOT_CHECKED,REVIEW,gold_pair.jsonl에 이 물질 관련 질의가 전혀 없어 retrieval 근거 자체가 없음(불확실 — 강제판정 안 함),0.38,0.46,0.41,0.26,True,0
7440-62-2,VANADIUM (FUME OR DUST),REMOVE_CONFIRMED,"동일 그룹조합((41,)) 대표물질 7440-47-3(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",,7440-47-3,41,"Metals, Elemental and Powder, Active",True,False,0,0,,,,NO_DATA,1,False,True,False,,2,True,NOT_CHECKED,REVIEW,gold_pair.jsonl에 이 물질 관련 질의가 전혀 없어 retrieval 근거 자체가 없음(불확실 — 강제판정 안 함),0.38,0.46,0.41,0.26,True,0
7782-49-2,SELENIUM POWDER,REMOVE_CONFIRMED,"동일 그룹조합((41,)) 대표물질 7440-47-3(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",,7440-47-3,41,"Metals, Elemental and Powder, Active",True,False,0,0,,,,NO_DATA,1,False,True,False,,2,True,NOT_CHECKED,REVIEW,gold_pair.jsonl에 이 물질 관련 질의가 전혀 없어 retrieval 근거 자체가 없음(불확실 — 강제판정 안 함),0.38,0.46,0.41,0.26,True,0
13494-80-9,TELLURIUM,REMOVE_CONFIRMED,"동일 그룹조합((42,)) 대표물질 7439-92-1(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",,7439-92-1,42,"Metals, Less Reactive agents",True,False,0,0,,,,NO_DATA,1,False,True,False,,2,True,NOT_CHECKED,REVIEW,gold_pair.jsonl에 이 물질 관련 질의가 전혀 없어 retrieval 근거 자체가 없음(불확실 — 강제판정 안 함),0.38,0.46,0.41,0.26,True,0
7440-28-0,THALLIUM,REMOVE_CONFIRMED,"동일 그룹조합((42,)) 대표물질 7439-92-1(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",,7439-92-1,42,"Metals, Less Reactive agents",True,False,0,0,,,,NO_DATA,1,False,True,False,,2,True,NOT_CHECKED,REVIEW,gold_pair.jsonl에 이 물질 관련 질의가 전혀 없어 retrieval 근거 자체가 없음(불확실 — 강제판정 안 함),0.38,0.46,0.41,0.26,True,0
7440-38-2,ARSENIC,REMOVE_CONFIRMED,"동일 그룹조합((42,)) 대표물질 7439-92-1(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",,7439-92-1,42,"Metals, Less Reactive agents",True,False,0,0,,,,NO_DATA,1,False,True,False,,2,True,NOT_CHECKED,REVIEW,gold_pair.jsonl에 이 물질 관련 질의가 전혀 없어 retrieval 근거 자체가 없음(불확실 — 강제판정 안 함),0.38,0.46,0.41,0.26,True,0
7440-55-3,GALLIUM,REMOVE_CONFIRMED,"동일 그룹조합((42,)) 대표물질 7439-92-1(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",,7439-92-1,42,"Metals, Less Reactive agents",True,False,0,0,,,,NO_DATA,1,False,True,False,,2,True,NOT_CHECKED,REVIEW,gold_pair.jsonl에 이 물질 관련 질의가 전혀 없어 retrieval 근거 자체가 없음(불확실 — 강제판정 안 함),0.38,0.46,0.41,0.26,True,0
7783-33-7,"MERCURIC POTASSIUM IODIDE, [SOLID]",REMOVE_CONFIRMED,"동일 그룹조합((42, 60)) 대표물질 7487-94-7(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",,7487-94-7,42;60,"Metals, Less Reactive agents;Salts, Acidic",True,False,0,0,,,,NO_DATA,1,False,True,False,,2,True,NOT_CHECKED,REVIEW,gold_pair.jsonl에 이 물질 관련 질의가 전혀 없어 retrieval 근거 자체가 없음(불확실 — 강제판정 안 함),0.38,0.46,0.41,0.26,True,0
7783-35-9,MERCURIC SULFATE,REMOVE_CONFIRMED,"동일 그룹조합((42, 60)) 대표물질 7487-94-7(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",,7487-94-7,42;60,"Metals, Less Reactive agents;Salts, Acidic",True,False,0,0,,,,NO_DATA,1,False,True,False,,2,True,NOT_CHECKED,REVIEW,gold_pair.jsonl에 이 물질 관련 질의가 전혀 없어 retrieval 근거 자체가 없음(불확실 — 강제판정 안 함),0.38,0.46,0.41,0.26,True,0
7783-36-0,MERCUROUS SULFATE,REMOVE_CONFIRMED,"동일 그룹조합((42, 60)) 대표물질 7487-94-7(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",,7487-94-7,42;60,"Metals, Less Reactive agents;Salts, Acidic",True,False,0,0,,,,NO_DATA,1,False,True,False,,2,True,NOT_CHECKED,REVIEW,gold_pair.jsonl에 이 물질 관련 질의가 전혀 없어 retrieval 근거 자체가 없음(불확실 — 강제판정 안 함),0.38,0.46,0.41,0.26,True,0
10326-21-3,MAGNESIUM CHLORATE,REMOVE_CONFIRMED,"동일 그룹조합((50,)) 대표물질 20816-12-0(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",,20816-12-0,50,"Oxidizing Agents, Strong",True,False,0,0,,,,NO_DATA,1,False,True,False,,2,True,NOT_CHECKED,REVIEW,gold_pair.jsonl에 이 물질 관련 질의가 전혀 없어 retrieval 근거 자체가 없음(불확실 — 강제판정 안 함),0.38,0.46,0.41,0.26,True,0
10361-95-2,ZINC CHLORATE,REMOVE_CONFIRMED,"동일 그룹조합((50,)) 대표물질 20816-12-0(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",,20816-12-0,50,"Oxidizing Agents, Strong",True,False,0,0,,,,NO_DATA,1,False,True,False,,2,True,NOT_CHECKED,REVIEW,gold_pair.jsonl에 이 물질 관련 질의가 전혀 없어 retrieval 근거 자체가 없음(불확실 — 강제판정 안 함),0.38,0.46,0.41,0.26,True,0
1313-60-6,SODIUM PEROXIDE,REMOVE_CONFIRMED,"동일 그룹조합((18, 50)) 대표물질 17014-71-0(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",,17014-71-0,18;50,"Bases, Strong;Oxidizing Agents, Strong",True,False,0,0,,,,NO_DATA,1,False,True,False,,2,True,NOT_CHECKED,REVIEW,gold_pair.jsonl에 이 물질 관련 질의가 전혀 없어 retrieval 근거 자체가 없음(불확실 — 강제판정 안 함),0.38,0.46,0.41,0.26,True,0
1314-62-1,VANADIUM PENTOXIDE,REMOVE_CONFIRMED,"동일 그룹조합((50, 60)) 대표물질 13446-10-1(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",,13446-10-1,50;60,"Oxidizing Agents, Strong;Salts, Acidic",True,False,0,0,,,,NO_DATA,1,False,True,False,,2,True,NOT_CHECKED,REVIEW,gold_pair.jsonl에 이 물질 관련 질의가 전혀 없어 retrieval 근거 자체가 없음(불확실 — 강제판정 안 함),0.38,0.46,0.41,0.26,True,0
13530-65-9,ZINC CHROMATE,REMOVE_CONFIRMED,"동일 그룹조합((50, 61)) 대표물질 14018-95-2(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",,14018-95-2,50;61,"Oxidizing Agents, Strong;Salts, Basic",True,False,0,0,,,,NO_DATA,1,False,True,False,,2,True,NOT_CHECKED,REVIEW,gold_pair.jsonl에 이 물질 관련 질의가 전혀 없어 retrieval 근거 자체가 없음(불확실 — 강제판정 안 함),0.38,0.46,0.41,0.26,True,0
13765-19-0,CALCIUM CHROMATE,REMOVE_CONFIRMED,"동일 그룹조합((50, 61)) 대표물질 14018-95-2(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",,14018-95-2,50;61,"Oxidizing Agents, Strong;Salts, Basic",True,False,0,0,,,,NO_DATA,1,False,True,False,,2,True,NOT_CHECKED,REVIEW,gold_pair.jsonl에 이 물질 관련 질의가 전혀 없어 retrieval 근거 자체가 없음(불확실 — 강제판정 안 함),0.38,0.46,0.41,0.26,True,0
14519-07-4,ZINC BROMATE,REMOVE_CONFIRMED,"동일 그룹조합((50,)) 대표물질 20816-12-0(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",,20816-12-0,50,"Oxidizing Agents, Strong",True,False,0,0,,,,NO_DATA,1,False,True,False,,2,True,NOT_CHECKED,REVIEW,gold_pair.jsonl에 이 물질 관련 질의가 전혀 없어 retrieval 근거 자체가 없음(불확실 — 강제판정 안 함),0.38,0.46,0.41,0.26,True,0
23414-72-4,ZINC PERMANGANATE,REMOVE_CONFIRMED,"동일 그룹조합((50,)) 대표물질 20816-12-0(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",,20816-12-0,50,"Oxidizing Agents, Strong",True,False,0,0,,,,NO_DATA,1,False,True,False,,2,True,NOT_CHECKED,REVIEW,gold_pair.jsonl에 이 물질 관련 질의가 전혀 없어 retrieval 근거 자체가 없음(불확실 — 강제판정 안 함),0.38,0.46,0.41,0.26,True,0
2893-78-9,SODIUM DICHLORO-S-TRIAZINETRIONE,REMOVE_CONFIRMED,"동일 그룹조합((7, 32, 50, 60)) 대표물질 2244-21-5(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",,2244-21-5,7;32;50;60,"Acyl Halides, Sulfonyl Halides, and Chloroformates;Halogenating Agents;Oxidizing Agents, Strong;Salts, Acidic",True,False,0,0,,,,NO_DATA,1,False,True,False,,2,True,NOT_CHECKED,REVIEW,gold_pair.jsonl에 이 물질 관련 질의가 전혀 없어 retrieval 근거 자체가 없음(불확실 — 강제판정 안 함),0.38,0.46,0.41,0.26,True,0
507-40-4,TERT-BUTYL HYPOCHLORITE,REMOVE_CONFIRMED,"동일 그룹조합((50,)) 대표물질 20816-12-0(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",,20816-12-0,50,"Oxidizing Agents, Strong",True,False,0,0,,,,NO_DATA,1,False,True,False,,2,True,NOT_CHECKED,REVIEW,gold_pair.jsonl에 이 물질 관련 질의가 전혀 없어 retrieval 근거 자체가 없음(불확실 — 강제판정 안 함),0.38,0.46,0.41,0.26,True,0
546-67-8,LEAD TETRAACETATE,REMOVE_CONFIRMED,"동일 그룹조합((50,)) 대표물질 20816-12-0(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",,20816-12-0,50,"Oxidizing Agents, Strong",True,False,0,0,,,,NO_DATA,1,False,True,False,,2,True,NOT_CHECKED,REVIEW,gold_pair.jsonl에 이 물질 관련 질의가 전혀 없어 retrieval 근거 자체가 없음(불확실 — 강제판정 안 함),0.38,0.46,0.41,0.26,True,0
7775-11-3,SODIUM CHROMATE,REMOVE_CONFIRMED,"동일 그룹조합((50, 61, 68)) 대표물질 7778-66-7(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",,7778-66-7,50;61;68,"Oxidizing Agents, Strong;Salts, Basic;Water and Aqueous Solutions",True,False,0,0,,,,NO_DATA,1,False,True,False,,2,True,NOT_CHECKED,REVIEW,gold_pair.jsonl에 이 물질 관련 질의가 전혀 없어 retrieval 근거 자체가 없음(불확실 — 강제판정 안 함),0.38,0.46,0.41,0.26,True,0
