cas,chemical_name,true_cameo_groups,original_selection_status,phase6_status,review134_status,final_decision,dependency_class,dependency_reason
101-39-3,ALPHA-METHYLCINNAMALDEHYDE,9;34;35,UNSUPPORTED,,,REVIEW,D_not_observed,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음)
115-19-5,2-METHYL-2-HYDROXY-3-BUTYNE,8;10,KEEP_COVERAGE,,,KEEP_COVERAGE,A_unique_dependency,curriculum/coverage 근거 — 대체 불가
101-27-9,BARBAN,11;16;20;31,KEEP_COVERAGE,,,KEEP_COVERAGE,A_unique_dependency,curriculum/coverage 근거 — 대체 불가
57-13-6,UREA,12;19;43;60,KEEP_MANDATORY,,,KEEP,A_unique_dependency,curriculum/coverage 근거 — 대체 불가
101-20-2,TRICLOCARBAN,12;13;16,UNSUPPORTED,,,REVIEW,D_not_observed,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음)
100-01-6,"P-NITROANILINE, [SOLID]",13;46,UNSUPPORTED,,,KEEP_EMPIRICAL,D_not_observed,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음)
100-15-2,N-METHYL-4-NITROANILINE,13;46,UNSUPPORTED,RETAIN_RETRIEVAL,,KEEP_RETRIEVAL_DIAGNOSTIC,A_unique_dependency,426 자기청크 hit_rate@10=0.85(diagnostic) — 대체물질로 못 메움
100-22-1,"N,N,N&#39;,N&#39;-TETRAMETHYL-P-PHENYLENEDIAMINE",14,UNSUPPORTED,,,KEEP_EMPIRICAL,D_not_observed,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음)
108-24-7,ACETIC ANHYDRIDE,15,KEEP_MANDATORY,,,KEEP,A_unique_dependency,curriculum/coverage 근거 — 대체 불가
106-31-0,BUTYRIC ANHYDRIDE,15,UNSUPPORTED,RETAIN_RETRIEVAL,,KEEP_RETRIEVAL_DIAGNOSTIC,A_unique_dependency,426 자기청크 hit_rate@10=1.0(diagnostic) — 대체물질로 못 메움
100-00-5,P-NITROCHLOROBENZENE,16;46,UNSUPPORTED,,,REVIEW,D_not_observed,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음)
101-05-3,ANILAZINE,14;16,UNSUPPORTED,,,REVIEW,D_not_observed,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음)
100-16-3,"4-NITROPHENYLHYDRAZINE, [WETTED WITH NOT LESS THAN 30% WATER BY MASS]",17;46;68,UNSUPPORTED,,,REVIEW,D_not_observed,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음)
1310-58-3,"POTASSIUM HYDROXIDE, SOLUTION",18;68,KEEP_MANDATORY,,,KEEP,A_unique_dependency,curriculum/coverage 근거 — 대체 불가
1310-73-2,SODIUM HYDROXIDE SOLUTION,18;39;68,KEEP_MANDATORY,,,KEEP,A_unique_dependency,curriculum/coverage 근거 — 대체 불가
12136-45-7,POTASSIUM MONOXIDE,18,REVIEW,,,KEEP_EMPIRICAL,D_not_observed,원 후보가 KOSHA 미등록이라 같은 그룹 내 다음 후보로 자동 대체
100-57-2,PHENYLMERCURIC HYDROXIDE,18;49,UNSUPPORTED,,,REVIEW,D_not_observed,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음)
11138-49-1,"SODIUM ALUMINATE, SOLUTION",18;68,UNSUPPORTED,RETAIN_RETRIEVAL,,KEEP_RETRIEVAL_DIAGNOSTIC,A_unique_dependency,426 자기청크 hit_rate@10=1.0(diagnostic) — 대체물질로 못 메움
12030-88-5,POTASSIUM SUPEROXIDE,18;50,UNSUPPORTED,RETAIN_RETRIEVAL,,KEEP_RETRIEVAL_DIAGNOSTIC,A_unique_dependency,426 자기청크 hit_rate@10=0.8(diagnostic) — 대체물질로 못 메움
12031-80-0,LITHIUM PEROXIDE,18;50,UNSUPPORTED,REVIEW,REVIEW_SUPPORTED,KEEP_RETRIEVAL_DIAGNOSTIC,A_unique_dependency,대표물질 17014-71-0로 매트릭스상 대체 가능 | PHASE7 재평가: REVIEW_SUPPORTED(hit_rate=1.0)
1336-21-6,AMMONIUM HYDROXIDE,19;68,KEEP_MANDATORY,,,KEEP,A_unique_dependency,curriculum/coverage 근거 — 대체 불가
12124-99-1,"AMMONIUM HYDROSULFIDE, SOLUTION",18;19;63;68,UNSUPPORTED,,,REVIEW,D_not_observed,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음)
1305-62-0,CALCIUM HYDROXIDE,19,UNSUPPORTED,,,KEEP_EMPIRICAL,D_not_observed,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음)
1310-61-8,POTASSIUM HYDROSULFIDE,19;63,UNSUPPORTED,,,KEEP_EMPIRICAL,D_not_observed,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음)
1313-82-2,"SODIUM SULFIDE, ANHYDROUS",19;63;68,UNSUPPORTED,RETAIN_RETRIEVAL,,KEEP_RETRIEVAL_DIAGNOSTIC,A_unique_dependency,426 자기청크 hit_rate@10=1.0(diagnostic) — 대체물질로 못 메움
13983-17-0,WOLLASTONITE,19;61;62,KEEP_COVERAGE,,,KEEP_COVERAGE,A_unique_dependency,curriculum/coverage 근거 — 대체 불가
143-33-9,SODIUM CYANIDE,19;24;68,UNSUPPORTED,,,KEEP_EMPIRICAL,D_not_observed,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음)
7664-41-7,AMMONIA,19;68,KEEP_EMPIRICAL,,,KEEP_EMPIRICAL,A_unique_dependency,§10 전수조사(197종) 실측 1순위 반응 상대(물 등) 기본물질 보강
101-21-3,ISOPROPYL-N-(3-CHLOROPHENYL)CARBAMATE,16;20,KEEP_COVERAGE,,,KEEP_COVERAGE,A_unique_dependency,curriculum/coverage 근거 — 대체 불가
506-87-6,AMMONIUM CARBONATE,21;60,REVIEW,,,KEEP_EMPIRICAL,D_not_observed,원 후보가 KOSHA 미등록이라 같은 그룹 내 다음 후보로 자동 대체
1066-33-7,AMMONIUM BICARBONATE,21;61,UNSUPPORTED,,,KEEP_EMPIRICAL,D_not_observed,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음)
1317-65-3,LIMESTONE,21,UNSUPPORTED,,,KEEP_EMPIRICAL,D_not_observed,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음)
144-55-8,SODIUM BICARBONATE,21,UNSUPPORTED,RETAIN_RETRIEVAL,,KEEP_RETRIEVAL_DIAGNOSTIC,A_unique_dependency,426 자기청크 hit_rate@10=0.9286(diagnostic) — 대체물질로 못 메움
15630-89-4,SODIUM PERCARBONATE,21;50;61,UNSUPPORTED,,,KEEP_EMPIRICAL,D_not_observed,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음)
3486-35-9,ZINC CARBONATE,21,UNSUPPORTED,RETAIN_RETRIEVAL,,KEEP_RETRIEVAL_DIAGNOSTIC,A_unique_dependency,426 자기청크 hit_rate@10=1.0(diagnostic) — 대체물질로 못 메움
471-34-1,CALCIUM CARBONATE,21,UNSUPPORTED,RETAIN_RETRIEVAL,,KEEP_RETRIEVAL_DIAGNOSTIC,A_unique_dependency,426 자기청크 hit_rate@10=0.8545(diagnostic) — 대체물질로 못 메움
1558-25-4,TRICHLORO(CHLOROMETHYL)SILANE,22;31,KEEP_COVERAGE,,,KEEP_COVERAGE,A_unique_dependency,curriculum/coverage 근거 — 대체 불가
110-16-7,MALEIC ACID,2;23;34,KEEP_COVERAGE,,,KEEP_COVERAGE,A_unique_dependency,curriculum/coverage 근거 — 대체 불가
1335-31-5,MERCURIC OXYCYANIDE,24,UNSUPPORTED,,,REVIEW,D_not_observed,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음)
101-90-6,DIGLYCIDYL RESORCINOL ETHER,26;28;35,UNSUPPORTED,,,KEEP_EMPIRICAL,D_not_observed,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음)
105-79-3,ISOBUTYL CAPROATE,27,REVIEW,RETAIN_RETRIEVAL,,KEEP_RETRIEVAL_DIAGNOSTIC,A_unique_dependency,426 자기청크 hit_rate@10=0.98(diagnostic) — 대체물질로 못 메움
10031-87-5,2-ETHYLBUTYL ACETATE,27,UNSUPPORTED,RETAIN_RETRIEVAL,,KEEP_RETRIEVAL_DIAGNOSTIC,A_unique_dependency,426 자기청크 hit_rate@10=1.0(diagnostic) — 대체물질로 못 메움
102-16-9,BENZYL PHENYLACETATE,27,UNSUPPORTED,RETAIN_RETRIEVAL,,KEEP_RETRIEVAL_DIAGNOSTIC,A_unique_dependency,426 자기청크 hit_rate@10=1.0(diagnostic) — 대체물질로 못 메움
103-09-3,ETHYLHEXYL ACETATE,27,UNSUPPORTED,RETAIN_RETRIEVAL,,KEEP_RETRIEVAL_DIAGNOSTIC,A_unique_dependency,426 자기청크 hit_rate@10=0.96(diagnostic) — 대체물질로 못 메움
103-23-1,BIS(2-ETHYLHEXYL) ADIPATE,27,UNSUPPORTED,,,KEEP_EMPIRICAL,D_not_observed,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음)
1031-07-8,ENDOSULFAN SULFATE,27;31;34,UNSUPPORTED,,,REVIEW,D_not_observed,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음)
1031-47-6,TRIAMIPHOS,14;17;27,UNSUPPORTED,,,REVIEW,D_not_observed,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음)
60-29-7,ETHYL ETHER,28,KEEP_MANDATORY,,,KEEP,A_unique_dependency,curriculum/coverage 근거 — 대체 불가
104-46-1,ANETHOLE,28;34,REVIEW,,,REVIEW,D_not_observed,원 후보가 KOSHA 미등록이라 같은 그룹 내 다음 후보로 자동 대체
108-60-1,BIS(2-CHLORO-1-METHYLETHYL)ETHER,28;31,REVIEW,,,KEEP_EMPIRICAL,D_not_observed,원 후보가 KOSHA 미등록이라 같은 그룹 내 다음 후보로 자동 대체
109-53-5,VINYL ISOBUTYL ETHER,28;34;56,REVIEW,,,REVIEW,D_not_observed,원 후보가 KOSHA 미등록이라 같은 그룹 내 다음 후보로 자동 대체
109-59-1,ETHYLENE GLYCOL ISOPROPYL ETHER,8;28,REVIEW,,,REVIEW,D_not_observed,원 후보가 KOSHA 미등록이라 같은 그룹 내 다음 후보로 자동 대체
101-80-4,"4,4&#39;-DIAMINODIPHENYL ETHER",13;28,UNSUPPORTED,,,REVIEW,D_not_observed,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음)
103-50-4,DIBENZYL ETHER,28,UNSUPPORTED,,,REVIEW,D_not_observed,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음)
12125-01-8,AMMONIUM FLUORIDE,29;60,UNSUPPORTED,,,KEEP_EMPIRICAL,D_not_observed,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음)
1333-83-1,"SODIUM BIFLUORIDE, SOLID",29;60;68,UNSUPPORTED,,,KEEP_EMPIRICAL,D_not_observed,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음)
121-17-5,3-NITRO-4-CHLOROBENZOTRIFLUORIDE,16;30;46,KEEP_COVERAGE,,,KEEP_COVERAGE,A_unique_dependency,curriculum/coverage 근거 — 대체 불가
107-04-0,1-CHLORO-2-BROMOETHANE,31,REVIEW,,,KEEP_EMPIRICAL,D_not_observed,원 후보가 KOSHA 미등록이라 같은 그룹 내 다음 후보로 자동 대체
107-81-3,2-BROMOPENTANE,31,REVIEW,RETAIN_RETRIEVAL,,KEEP_RETRIEVAL_DIAGNOSTIC,A_unique_dependency,426 자기청크 hit_rate@10=0.9667(diagnostic) — 대체물질로 못 메움
100-14-1,"BENZENE, 1-(CHLOROMETHYL)-4-NITRO-",31;46,UNSUPPORTED,,,REVIEW,D_not_observed,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음)
10222-01-2,"2,2-DIBROMO-3-NITRILOPROPIONAMIDE",12;31;45,UNSUPPORTED,,,REVIEW,D_not_observed,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음)
1024-57-3,HEPTACHLOR EPOXIDE,26;31;34,UNSUPPORTED,,,REVIEW,D_not_observed,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음)
10311-84-9,DIALIFOR,12;27;31,UNSUPPORTED,,,REVIEW,D_not_observed,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음)
105-48-6,ISOPROPYL CHLOROACETATE,27;31,UNSUPPORTED,,,KEEP_EMPIRICAL,D_not_observed,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음)
10241-05-1,MOLYBDENUM PENTACHLORIDE,32,UNSUPPORTED,,,KEEP_EMPIRICAL,D_not_observed,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음)
118-52-5,"1,3-DICHLORO-5,5-DIMETHYLHYDANTOIN",7;32;50,UNSUPPORTED,,,KEEP_EMPIRICAL,D_not_observed,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음)
110-54-3,HEXANE,33,KEEP_MANDATORY,,,KEEP,A_unique_dependency,curriculum/coverage 근거 — 대체 불가
112-95-8,N-EICOSANE,33,UNSUPPORTED,,,KEEP_EMPIRICAL,D_not_observed,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음)
12002-43-6,GILSONITE,33;35,UNSUPPORTED,,,KEEP_EMPIRICAL,D_not_observed,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음)
123-01-3,DODECYLBENZENE,33;35,UNSUPPORTED,RETAIN_RETRIEVAL,,KEEP_RETRIEVAL_DIAGNOSTIC,A_unique_dependency,426 자기청크 hit_rate@10=0.85(diagnostic) — 대체물질로 못 메움
1333-86-4,CARBON BLACK,33;59,UNSUPPORTED,,,REVIEW,D_not_observed,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음)
1338-02-9,COPPER NAPHTHENATE,33;61,UNSUPPORTED,RETAIN_RETRIEVAL,,KEEP_RETRIEVAL_DIAGNOSTIC,A_unique_dependency,426 자기청크 hit_rate@10=0.95(diagnostic) — 대체물질로 못 메움
151-21-3,"DODECYL SULFATE, [SODIUM SALT]",33;61,UNSUPPORTED,,,KEEP_EMPIRICAL,D_not_observed,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음)
105-87-3,GERANYL ACETATE,27;34,REVIEW,,,REVIEW,D_not_observed,원 후보가 KOSHA 미등록이라 같은 그룹 내 다음 후보로 자동 대체
1025-15-6,TRIALLYL ISOCYANURATE,34;37,KEEP_COVERAGE,,,KEEP_COVERAGE,A_unique_dependency,curriculum/coverage 근거 — 대체 불가
108-88-3,TOLUENE,35,KEEP_MANDATORY,,,KEEP,A_unique_dependency,curriculum/coverage 근거 — 대체 불가
115-86-6,TRIPHENYL PHOSPHATE,27;35,REVIEW,,,REVIEW,D_not_observed,원 후보가 KOSHA 미등록이라 같은 그룹 내 다음 후보로 자동 대체
102-08-9,THIOCARBANILIDE,12;35;64,UNSUPPORTED,,,KEEP_EMPIRICAL,D_not_observed,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음)
102-54-5,FERROCENE,35;49,UNSUPPORTED,,,REVIEW,D_not_observed,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음)
104-72-3,N-DECYLBENZENE,35,UNSUPPORTED,,,KEEP_EMPIRICAL,D_not_observed,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음)
104-88-1,4-CHLOROBENZALDEHYDE,9;16;35,UNSUPPORTED,,,KEEP_EMPIRICAL,D_not_observed,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음)
114-49-8,SCOPOLAMINE HYDROBROMIDE,8;26;27;35;60,UNSUPPORTED,,,KEEP_EMPIRICAL,D_not_observed,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음)
101-68-8,"DIPHENYLMETHANE-4,4&#39;-DIISOCYANATE",37,KEEP_COVERAGE,,,KEEP_COVERAGE,A_unique_dependency,curriculum/coverage 근거 — 대체 불가
67-64-1,ACETONE,38,KEEP_MANDATORY,,,KEEP,A_unique_dependency,curriculum/coverage 근거 — 대체 불가
117-39-5,QUERCETIN,38;55,REVIEW,,,KEEP_EMPIRICAL,D_not_observed,원 후보가 KOSHA 미등록이라 같은 그룹 내 다음 후보로 자동 대체
119-53-9,BENZOIN,8;35;38,REVIEW,,,KEEP_EMPIRICAL,D_not_observed,자동 안전필터로 못 거른 물질을 사람이 검토해 대체
102-01-2,ACETOACETANILIDE,12;13;38,UNSUPPORTED,,,KEEP_EMPIRICAL,D_not_observed,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음)
106-51-4,BENZOQUINONE,38,UNSUPPORTED,,,KEEP_EMPIRICAL,D_not_observed,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음)
107-70-0,4-METHOXY-4-METHYLPENTAN-2-ONE,28;38,UNSUPPORTED,,,REVIEW,D_not_observed,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음)
110-13-4,"2,5-HEXANEDIONE",38,UNSUPPORTED,REVIEW,REVIEW_SUPPORTED,KEEP_RETRIEVAL_DIAGNOSTIC,A_unique_dependency,"대표물질 106-51-4로 대체, §10 실질근거 없음 | PHASE7 재평가: REVIEW_SUPPORTED(hit_rate=1.0)"
16940-66-2,SODIUM BOROHYDRIDE,18;39;68,KEEP_MANDATORY,,,KEEP,A_unique_dependency,curriculum/coverage 근거 — 대체 불가
102-67-0,TRIPROPYLALUMINUM,39,UNSUPPORTED,,,REVIEW,D_not_observed,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음)
7440-09-7,POTASSIUM,40,REVIEW,RETAIN_COVERAGE,,KEEP_COVERAGE,A_unique_dependency,curriculum/coverage 근거 — 대체 불가
7439-93-2,LITHIUM,40,UNSUPPORTED,,,KEEP_EMPIRICAL,D_not_observed,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음)
7440-66-6,ZINC ASHES,41,KEEP_MANDATORY,,,KEEP,A_unique_dependency,curriculum/coverage 근거 — 대체 불가
7439-95-4,MAGNESIUM,41,REVIEW,RETAIN_RETRIEVAL,,KEEP_RETRIEVAL_DIAGNOSTIC,A_unique_dependency,426 자기청크 hit_rate@10=0.9(diagnostic) — 대체물질로 못 메움
7440-02-0,NICKEL,41,REVIEW,REVIEW,REVIEW_SUPPORTED,KEEP_RETRIEVAL_DIAGNOSTIC,A_unique_dependency,대표물질 7440-47-3로 매트릭스상 대체 가능 | PHASE7 재평가: REVIEW_SUPPORTED(hit_rate=1.0)
7440-21-3,"SILICON POWDER, AMORPHOUS",41,REVIEW,REVIEW,REVIEW_SUPPORTED,KEEP_RETRIEVAL_DIAGNOSTIC,A_unique_dependency,대표물질 7440-47-3로 매트릭스상 대체 가능 | PHASE7 재평가: REVIEW_SUPPORTED(hit_rate=1.0)
7440-25-7,TANTALUM (METAL AND OXIDE DUST),41,REVIEW,RETAIN_RETRIEVAL,,KEEP_RETRIEVAL_DIAGNOSTIC,A_unique_dependency,426 자기청크 hit_rate@10=0.9333(diagnostic) — 대체물질로 못 메움
7429-90-5,"ALUMINUM POWDER, COATED",41,UNSUPPORTED,REVIEW,REVIEW_NOT_TESTED,REVIEW,B_representative_substitutable,대표물질 7440-47-3로 매트릭스상 대체 가능 | PHASE7 재평가: REVIEW_NOT_TESTED(hit_rate=)
7439-89-6,"IRON, [POWDERED]",41,UNSUPPORTED,REVIEW,REVIEW_UNSUPPORTED,REVIEW,B_representative_substitutable,대표물질 7440-47-3로 매트릭스상 대체 가능 | PHASE7 재평가: REVIEW_UNSUPPORTED(hit_rate=0.0)
