query_id,cas_a,cas_b,gold_risk_pair_recorded,gold_risk_pair_recomputed,verdict_drift,n_gold_chunks,sections_covered,issues,status
indepv2::3025-88-5::7440-23-5,3025-88-5,7440-23-5,Incompatible,Incompatible,False,4,2;10,,CLEAN
indepv2::7704-34-9::105-60-2,7704-34-9,105-60-2,Incompatible,Incompatible,False,5,2;10,,CLEAN
indepv2::7439-89-6::7727-21-1,7439-89-6,7727-21-1,Incompatible,Incompatible,False,4,2;10,,CLEAN
indepv2::14452-57-4::7789-29-9,14452-57-4,7789-29-9,Incompatible,Incompatible,False,4,2;10,,CLEAN
indepv2::7440-65-5::117-39-5,7440-65-5,117-39-5,Incompatible,Incompatible,False,4,2;10,,CLEAN
indepv2::7758-01-2::1643-20-5,7758-01-2,1643-20-5,Incompatible,Incompatible,False,5,2;10,,CLEAN
indepv2::13769-43-2::1312-73-8,13769-43-2,1312-73-8,Incompatible,Incompatible,False,4,2;10,,CLEAN
indepv2::7440-33-7::100-51-6,7440-33-7,100-51-6,Compatible,Compatible,False,4,2;10,,CLEAN
indepv2::1341-49-7::10034-81-8,1341-49-7,10034-81-8,Incompatible,Incompatible,False,4,2;10,,CLEAN
indepv2::12031-80-0::7446-70-0,12031-80-0,7446-70-0,Incompatible,Incompatible,False,4,2;10,,CLEAN
indepv2::7631-90-5::13765-19-0,7631-90-5,13765-19-0,Incompatible,Incompatible,False,4,2;10,,CLEAN
indepv2::7440-02-0::3025-88-5,7440-02-0,3025-88-5,Incompatible,Incompatible,False,4,2;10,,CLEAN
indepv2::10361-95-2::151-50-8,10361-95-2,151-50-8,Incompatible,Incompatible,False,4,2;10,,CLEAN
indepv2::7783-18-8::108-24-7,7783-18-8,108-24-7,Incompatible,Incompatible,False,4,2;10,,CLEAN
indepv2::7789-29-9::13774-25-9,7789-29-9,13774-25-9,Incompatible,Incompatible,False,4,2;10,,CLEAN
indepv2::110-13-4::540-72-7,110-13-4,540-72-7,Incompatible,Incompatible,False,4,2;10,,CLEAN
indepv2::1314-62-1::2691-41-0,1314-62-1,2691-41-0,Incompatible,Incompatible,False,5,2;10,,CLEAN
indepv2::7789-69-7::831-52-7,7789-69-7,831-52-7,Incompatible,Incompatible,False,4,2;10,,CLEAN
indepv2::10137-74-3::13769-43-2,10137-74-3,13769-43-2,Incompatible,Incompatible,False,4,2;10,,CLEAN
indepv2::7440-70-2::123-01-3,7440-70-2,123-01-3,Compatible,Compatible,False,4,2;10,,CLEAN
indepv2::7783-66-6::14708-14-6,7783-66-6,14708-14-6,Incompatible,Incompatible,False,4,2;10,,CLEAN
indepv2::516-03-0::105-59-9,516-03-0,105-59-9,Caution,Caution,False,4,2;10,,CLEAN
indepv2::7727-21-1::7783-66-6,7727-21-1,7783-66-6,Incompatible,Incompatible,False,4,2;10,,CLEAN
indepv2::1304-29-6::100-73-2,1304-29-6,100-73-2,Incompatible,Incompatible,False,4,2;10,,CLEAN
indepv2::7772-99-8::14519-17-6,7772-99-8,14519-17-6,Incompatible,Incompatible,False,4,2;10,,CLEAN
indepv2::7440-21-3::1120-71-4,7440-21-3,1120-71-4,Incompatible,Incompatible,False,4,2;10,,CLEAN
indepv2::1314-18-7::14519-07-4,1314-18-7,14519-07-4,Incompatible,Incompatible,False,4,2;10,,CLEAN
indepv2::16961-83-4::7631-90-5,16961-83-4,7631-90-5,Incompatible,Incompatible,False,4,2;10,,CLEAN
indepv2::1314-22-3::592-87-0,1314-22-3,592-87-0,Incompatible,Incompatible,False,4,2;10,,CLEAN
indepv2::7790-98-9::5470-11-1,7790-98-9,5470-11-1,Incompatible,Incompatible,False,5,2;10,,CLEAN
indepv2::7440-31-5::8049-17-0,7440-31-5,8049-17-0,Caution,Caution,False,4,2;10,,CLEAN
indepv2::7440-28-0::7439-93-2,7440-28-0,7439-93-2,Caution,Caution,False,5,2;10,,CLEAN
indepv2::7791-10-8::15699-18-0,7791-10-8,15699-18-0,Incompatible,Incompatible,False,5,2;10,,CLEAN
indepv2::7789-61-9::21351-79-1,7789-61-9,21351-79-1,Incompatible,Incompatible,False,4,2;10,,CLEAN
indepv2::7783-35-9::7446-08-4,7783-35-9,7446-08-4,Incompatible,Incompatible,False,5,2;10,,CLEAN
indepv2::546-67-8::1313-82-2,546-67-8,1313-82-2,Incompatible,Incompatible,False,4,2;10,,CLEAN
indepv2::87-90-1::105-60-2,87-90-1,105-60-2,Incompatible,Incompatible,False,5,2;10,,CLEAN
indepv2::11084-85-8::122-66-7,11084-85-8,122-66-7,Incompatible,Incompatible,False,5,2;10,,CLEAN
indepv2::13780-03-5::115-19-5,13780-03-5,115-19-5,Caution,Caution,False,4,2;10,,CLEAN
indepv2::15541-45-4::110-13-4,15541-45-4,110-13-4,Incompatible,Incompatible,False,4,2;10,,CLEAN
indepv2::38465-60-0::101-90-6,38465-60-0,101-90-6,Incompatible,Incompatible,False,4,2;10,,CLEAN
indepv2::15385-58-7::151-50-8,15385-58-7,151-50-8,Caution,Caution,False,4,2;10,,CLEAN
indepv2::7440-58-6::100-57-2,7440-58-6,100-57-2,Incompatible,Incompatible,False,4,2;10,,CLEAN
indepv2::13410-01-0::1854-26-8,13410-01-0,1854-26-8,Incompatible,Incompatible,False,4,2;10,,CLEAN
indepv2::7784-44-3::1309-60-0,7784-44-3,1309-60-0,Incompatible,Incompatible,False,5,2;10,,CLEAN
indepv2::7788-97-8::105-74-8,7788-97-8,105-74-8,Incompatible,Incompatible,False,4,2;10,,CLEAN
indepv2::13494-80-9::1313-82-2,13494-80-9,1313-82-2,Incompatible,Incompatible,False,4,2;10,,CLEAN
indepv2::7775-11-3::64-17-5,7775-11-3,64-17-5,Incompatible,Incompatible,False,5,2;10,,CLEAN
indepv2::7791-21-1::106-87-6,7791-21-1,106-87-6,Incompatible,Incompatible,False,4,2;10,,CLEAN
indepv2::7787-41-9::13007-92-6,7787-41-9,13007-92-6,Caution,Caution,False,4,2;10,,CLEAN
indepv2::23414-72-4::100-51-6,23414-72-4,100-51-6,Incompatible,Incompatible,False,4,2;10,,CLEAN
indepv2::13477-36-6::107-97-1,13477-36-6,107-97-1,Incompatible,Incompatible,False,4,2;10,,CLEAN
indepv2::13530-65-9::7440-39-3,13530-65-9,7440-39-3,Incompatible,Incompatible,False,4,2;10,,CLEAN
indepv2::507-40-4::7664-93-9,507-40-4,7664-93-9,Incompatible,Incompatible,False,4,2;10,,CLEAN
indepv2::7440-45-1::8049-17-0,7440-45-1,8049-17-0,Caution,Caution,False,4,2;10,,CLEAN
indepv2::7440-22-4::7440-09-7,7440-22-4,7440-09-7,Caution,Caution,False,4,2;10,,CLEAN
indepv2::21351-79-1::110-54-3,21351-79-1,110-54-3,Compatible,Compatible,False,5,2;10,,CLEAN
indepv2::540-72-7::10361-95-2,540-72-7,10361-95-2,Incompatible,Incompatible,False,4,2;10,,CLEAN
indepv2::13780-03-5::7440-31-5,13780-03-5,7440-31-5,Incompatible,Incompatible,False,4,2;10,,CLEAN
indepv2::13477-10-6::7440-23-5,13477-10-6,7440-23-5,Incompatible,Incompatible,False,4,2;10,,CLEAN
indepv2::105-87-3::7789-06-2,105-87-3,7789-06-2,Incompatible,Incompatible,False,4,2;10,,CLEAN
indepv2::7789-61-9::11084-85-8,7789-61-9,11084-85-8,Incompatible,Incompatible,False,4,2;10,,CLEAN
indepv2::107-94-8::10025-91-9,107-94-8,10025-91-9,Incompatible,Incompatible,False,4,2;10,,CLEAN
indepv2::1314-18-7::7439-95-4,1314-18-7,7439-95-4,Incompatible,Incompatible,False,4,2;10,,CLEAN
indepv2::1558-25-4::3025-88-5,1558-25-4,3025-88-5,Incompatible,Incompatible,False,4,2;10,,CLEAN
indepv2::7732-18-5::7439-95-4,7732-18-5,7439-95-4,Incompatible,Incompatible,False,4,2;10,,CLEAN
indepv2::13450-97-0::1327-53-3,13450-97-0,1327-53-3,Incompatible,Incompatible,False,4,2;10,,CLEAN
indepv2::143-33-9::7722-84-1,143-33-9,7722-84-1,Incompatible,Incompatible,False,4,2;10,,CLEAN
indepv2::7722-84-1::7440-45-1,7722-84-1,7440-45-1,Incompatible,Incompatible,False,4,2;10,,CLEAN
indepv2::101-39-3::1031-07-8,101-39-3,1031-07-8,Incompatible,Incompatible,False,4,2;10,,CLEAN
indepv2::7440-74-6::14486-19-2,7440-74-6,14486-19-2,Incompatible,Incompatible,False,4,2;10,,CLEAN
indepv2::7440-41-7::7803-65-8,7440-41-7,7803-65-8,Incompatible,Incompatible,False,5,2;10,,CLEAN
indepv2::7789-09-5::12262-58-7,7789-09-5,12262-58-7,Incompatible,Incompatible,False,5,2;10,,CLEAN
indepv2::96-91-3::7440-70-2,96-91-3,7440-70-2,Incompatible,Incompatible,False,4,2;10,,CLEAN
indepv2::7778-66-7::12031-80-0,7778-66-7,12031-80-0,Incompatible,Incompatible,False,4,2;10,,CLEAN
indepv2::7440-66-6::118-52-5,7440-66-6,118-52-5,Incompatible,Incompatible,False,4,2;10,,CLEAN
indepv2::7440-09-7::10192-30-0,7440-09-7,10192-30-0,Incompatible,Incompatible,False,4,2;10,,CLEAN
indepv2::301-13-3::14519-07-4,301-13-3,14519-07-4,Incompatible,Incompatible,False,4,2;10,,CLEAN
indepv2::15630-89-4::1313-82-2,15630-89-4,1313-82-2,Incompatible,Incompatible,False,4,2;10,,CLEAN
indepv2::592-87-0::7758-98-7,592-87-0,7758-98-7,Incompatible,Incompatible,False,4,2;10,,CLEAN
indepv2::14977-61-8::67-64-1,14977-61-8,67-64-1,Incompatible,Incompatible,False,4,2;10,,CLEAN
indepv2::10361-37-2::13477-10-6,10361-37-2,13477-10-6,Incompatible,Incompatible,False,4,2;10,,CLEAN
indepv2::7803-55-6::7220-79-3,7803-55-6,7220-79-3,Caution,Caution,False,5,2;10,,CLEAN
indepv2::101-80-4::628-86-4,101-80-4,628-86-4,Caution,Caution,False,5,2;10,,CLEAN
indepv2::7664-41-7::100-15-2,7664-41-7,100-15-2,Caution,Caution,False,4,2;10,,CLEAN
indepv2::15825-70-4::50-00-0,15825-70-4,50-00-0,Caution,Caution,False,5,2;10,,CLEAN
indepv2::7440-16-6::102-71-6,7440-16-6,102-71-6,Caution,Caution,False,4,2;10,,CLEAN
indepv2::62-76-0::592-87-0,62-76-0,592-87-0,Caution,Caution,False,4,2;10,,CLEAN
indepv2::7631-90-5::124-09-4,7631-90-5,124-09-4,Caution,Caution,False,5,2;10,,CLEAN
indepv2::65-30-5::7786-81-4,65-30-5,7786-81-4,Caution,Caution,False,5,2;10,,CLEAN
indepv2::107-97-1::137-41-7,107-97-1,137-41-7,Caution,Caution,False,4,2;10,,CLEAN
indepv2::7440-55-3::7440-21-3,7440-55-3,7440-21-3,Caution,Caution,False,4,2;10,,CLEAN
indepv2::1310-65-2::100-64-1,1310-65-2,100-64-1,Caution,Caution,False,4,2;10,,CLEAN
indepv2::15385-58-7::105-48-6,15385-58-7,105-48-6,Caution,Caution,False,4,2;10,,CLEAN
indepv2::79-08-3::100-64-1,79-08-3,100-64-1,Caution,Caution,False,4,2;10,,CLEAN
indepv2::101-05-3::1310-65-2,101-05-3,1310-65-2,Caution,Caution,False,4,2;10,,CLEAN
indepv2::924-42-5::10031-87-5,924-42-5,10031-87-5,Caution,Caution,False,4,2;10,,CLEAN
indepv2::105-87-3::105-11-3,105-87-3,105-11-3,Caution,Caution,False,4,2;10,,CLEAN
indepv2::7664-41-7::591-08-2,7664-41-7,591-08-2,Caution,Caution,False,4,2;10,,CLEAN
indepv2::100-00-5::102-54-5,100-00-5,102-54-5,Caution,Caution,False,5,2;10,,CLEAN
indepv2::7681-38-1::101-05-3,7681-38-1,101-05-3,Caution,Caution,False,4,2;10,,CLEAN
indepv2::12136-45-7::102-54-5,12136-45-7,102-54-5,Caution,Caution,False,4,2;10,,CLEAN
indepv2::10031-87-5::10048-95-0,10031-87-5,10048-95-0,Caution,Caution,False,4,2;10,,CLEAN
indepv2::101-80-4::7440-33-7,101-80-4,7440-33-7,Caution,Caution,False,4,2;10,,CLEAN
indepv2::105-48-6::112-02-7,105-48-6,112-02-7,Caution,Caution,False,4,2;10,,CLEAN
indepv2::10102-49-5::119-53-9,10102-49-5,119-53-9,Caution,Caution,False,4,2;10,,CLEAN
indepv2::109-53-5::10102-50-8,109-53-5,10102-50-8,Caution,Caution,False,4,2;10,,CLEAN
indepv2::38465-60-0::104-46-1,38465-60-0,104-46-1,Compatible,Compatible,False,4,2;10,,CLEAN
indepv2::131-52-2::7704-34-9,131-52-2,7704-34-9,Compatible,Compatible,False,4,2;10,,CLEAN
indepv2::10031-13-7::7761-88-8,10031-13-7,7761-88-8,Compatible,Compatible,False,4,2;10,,CLEAN
indepv2::64-19-7::10101-63-0,64-19-7,10101-63-0,Compatible,Compatible,False,4,2;10,,CLEAN
indepv2::103-09-3::7758-98-7,103-09-3,7758-98-7,Compatible,Compatible,False,4,2;10,,CLEAN
indepv2::10102-50-8::65-30-5,10102-50-8,65-30-5,Compatible,Compatible,False,4,2;10,,CLEAN
indepv2::7647-10-1::112-95-8,7647-10-1,112-95-8,Compatible,Compatible,False,4,2;10,,CLEAN
indepv2::10112-91-1::3486-35-9,10112-91-1,3486-35-9,Compatible,Compatible,False,4,2;10,,CLEAN
indepv2::103-50-4::7440-55-3,103-50-4,7440-55-3,Compatible,Compatible,False,4,2;10,,CLEAN
indepv2::101-02-0::65-30-5,101-02-0,65-30-5,Compatible,Compatible,False,4,2;10,,CLEAN
indepv2::7772-98-7::100-51-6,7772-98-7,100-51-6,Compatible,Compatible,False,4,2;10,,CLEAN
indepv2::3486-35-9::105-79-3,3486-35-9,105-79-3,Compatible,Compatible,False,4,2;10,,CLEAN
indepv2::16721-80-5::60-29-7,16721-80-5,60-29-7,Compatible,Compatible,False,4,2;10,,CLEAN
indepv2::7220-79-3::106-51-4,7220-79-3,106-51-4,Compatible,Compatible,False,5,2;10,,CLEAN
indepv2::112-95-8::12136-45-7,112-95-8,12136-45-7,Compatible,Compatible,False,4,2;10,,CLEAN
indepv2::7681-49-4::1333-86-4,7681-49-4,1333-86-4,Compatible,Compatible,False,4,2;10,,CLEAN
indepv2::106-51-4::10031-13-7,106-51-4,10031-13-7,Compatible,Compatible,False,5,2;10,,CLEAN
indepv2::104-72-3::7664-41-7,104-72-3,7664-41-7,Compatible,Compatible,False,4,2;10,,CLEAN
indepv2::13718-26-8::7772-98-7,13718-26-8,7772-98-7,Compatible,Compatible,False,4,2;10,,CLEAN
indepv2::1854-26-8::7440-28-0,1854-26-8,7440-28-0,Compatible,Compatible,False,5,2;10,,CLEAN
indepv2::10124-48-8::1304-82-1,10124-48-8,1304-82-1,Compatible,Compatible,False,4,2;10,,CLEAN
indepv2::540-72-7::13718-59-7,540-72-7,13718-59-7,Compatible,Compatible,False,4,2;10,,CLEAN
indepv2::108-60-1::103-23-1,108-60-1,103-23-1,Compatible,Compatible,False,4,2;10,,CLEAN
indepv2::10196-04-0::10101-63-0,10196-04-0,10101-63-0,Compatible,Compatible,False,4,2;10,,CLEAN
indepv2::104-46-1::10265-92-6,104-46-1,10265-92-6,Compatible,Compatible,False,4,2;10,,CLEAN
