candidate_cas,candidate_name,group_id,group_name,group_before_count,true_cameo_groups,kosha_status,section10_categories,section10_has_real_evidence,redundant_with_existing,pubchem_verified,in_eval_testset,independence,decision,decision_reason
1305-99-3,CALCIUM PHOSPHIDE,44,"Nitrides, Phosphides, Carbides, and Silicides",1,44,kosha_registered,water,True,True,MATCH,False,"OK(evaluation_data 미등장, Wave1/eval 파생 아님)",REJECT,"이미 동일 true_cameo_groups=(44,) 조합 물질이 그룹44 내 존재 — 매트릭스 엔진 관점에서 정보량 중복"
12001-29-5,"ASBESTOS, WHITE",48,Not Chemically Reactive agents,2,48,kosha_registered,no_data,False,False,MISMATCH,False,"OK(evaluation_data 미등장, Wave1/eval 파생 아님)",REJECT,발암1급(석면류) — 기존 청석면(12001-28-4) 배제 선례와 동일 계열. coverage gain과 무관하게 안전/윤리 사유로 배제
39300-88-4,TARA GUM,48,Not Chemically Reactive agents,2,48,kosha_registered,combustible_reducing;water,True,False,ERROR,False,"OK(evaluation_data 미등장, Wave1/eval 파생 아님)",ADD,"그룹48(현재 2종) §10 실질 근거(['combustible_reducing', 'water']) 추가, 기존 조합과 비중복"
67774-32-7,POLYBROMINATED BIPHENYL,48,Not Chemically Reactive agents,2,16;48,kosha_registered,combustible_reducing;water,True,False,MATCH,False,"OK(evaluation_data 미등장, Wave1/eval 파생 아님)",ADD,"그룹48(현재 2종) §10 실질 근거(['combustible_reducing', 'water']) 추가, 기존 조합과 비중복"
7439-90-9,KRYPTON,48,Not Chemically Reactive agents,2,48,kosha_registered,no_data,False,False,MISMATCH,False,"OK(evaluation_data 미등장, Wave1/eval 파생 아님)",HOLD,"그룹48(현재 2종) §10 근거 빈약 — 자동판정 애매, 사람 검토 필요"
7440-01-9,NEON,48,Not Chemically Reactive agents,2,48,kosha_registered,no_data,False,False,MISMATCH,False,"OK(evaluation_data 미등장, Wave1/eval 파생 아님)",HOLD,"그룹48(현재 2종) §10 근거 빈약 — 자동판정 애매, 사람 검토 필요"
107-29-9,ACETALDEHYDE OXIME,52,Oximes,1,52,kosha_registered,no_data,False,True,MATCH,False,"OK(evaluation_data 미등장, Wave1/eval 파생 아님)",REJECT,"이미 동일 true_cameo_groups=(52,) 조합 물질이 그룹52 내 존재 — 매트릭스 엔진 관점에서 정보량 중복"
110-69-0,BUTYRALDOXIME,52,Oximes,1,52,kosha_registered,,False,True,MATCH,False,"OK(evaluation_data 미등장, Wave1/eval 파생 아님)",REJECT,"이미 동일 true_cameo_groups=(52,) 조합 물질이 그룹52 내 존재 — 매트릭스 엔진 관점에서 정보량 중복"
116-06-3,ALDICARB,52,Oximes,1,20;52,kosha_registered,no_data,False,False,MATCH,False,"OK(evaluation_data 미등장, Wave1/eval 파생 아님)",HOLD,"그룹52(현재 1종) §10 근거 빈약 — 자동판정 애매, 사람 검토 필요"
127-69-5,SULFISOXAZOLE,52,Oximes,1,14;52;66,kosha_registered,combustible_reducing;water,True,False,MATCH,False,"OK(evaluation_data 미등장, Wave1/eval 파생 아님)",ADD,"그룹52(현재 1종) §10 실질 근거(['combustible_reducing', 'water']) 추가, 기존 조합과 비중복"
15271-41-7,"BICYCLO[2.2.1]HEPTANE-2-CARBONITRILE, 5-CHLORO-6-[[[(METHYLAMINO)CABONYL]OXY]IMINO]-, [1S-(1ALPHA,2BETA,4ALPHA,5ALPHA,6E)]-",52,Oximes,1,20;31;45;52,kosha_abstain,,False,False,MATCH,False,"OK(evaluation_data 미등장, Wave1/eval 파생 아님)",DATA_UNAVAILABLE,KOSHA 미등록 또는 미시도 — MSDS 원문 자체가 없어 판단 불가
121-54-0,BENZETHONIUM CHLORIDE,57,Quaternary Ammonium and Phosphonium Salts,2,28;35;47;57,kosha_registered,combustible_reducing;metal;water,True,False,MATCH,False,"OK(evaluation_data 미등장, Wave1/eval 파생 아님)",ADD,"그룹57(현재 2종) §10 실질 근거(['combustible_reducing', 'metal', 'water']) 추가, 기존 조합과 비중복"
122-19-0,BENZYLDIMETHYLOCTADECYLAMMONIUM CHLORIDE,57,Quaternary Ammonium and Phosphonium Salts,2,47;57,kosha_registered,combustible_reducing;metal;water,True,True,MATCH,False,"OK(evaluation_data 미등장, Wave1/eval 파생 아님)",REJECT,"이미 동일 true_cameo_groups=(47, 57) 조합 물질이 그룹57 내 존재 — 매트릭스 엔진 관점에서 정보량 중복"
124-64-1,TETRAKIS(HYDROXYMETHYL)PHOSPHONIUM CHLORIDE,57,Quaternary Ammonium and Phosphonium Salts,2,5;47;57,kosha_registered,combustible_reducing;water,True,False,MATCH,False,"OK(evaluation_data 미등장, Wave1/eval 파생 아님)",ADD,"그룹57(현재 2종) §10 실질 근거(['combustible_reducing', 'water']) 추가, 기존 조합과 비중복"
129-17-9,SULFAN BLUE,57,Quaternary Ammonium and Phosphonium Salts,2,13;23;57;61,kosha_registered,combustible_reducing;water,True,False,MATCH,False,"OK(evaluation_data 미등장, Wave1/eval 파생 아님)",ADD,"그룹57(현재 2종) §10 실질 근거(['combustible_reducing', 'water']) 추가, 기존 조합과 비중복"
1326-03-0,C.I. PIGMENT VIOLET 1,57,Quaternary Ammonium and Phosphonium Salts,2,14;57,kosha_registered,no_data,False,False,MATCH,False,"OK(evaluation_data 미등장, Wave1/eval 파생 아님)",HOLD,"그룹57(현재 2종) §10 근거 빈약 — 자동판정 애매, 사람 검토 필요"
1174-72-7,TETRAPHENOXYSILANE,62,Siloxanes,2,62,kosha_abstain,,False,False,MATCH,True,"INDEPENDENCE_UNCLEAR(평가셋에 이미 등장 — 예상 밖, 원인 확인 필요)",DATA_UNAVAILABLE,KOSHA 미등록 또는 미시도 — MSDS 원문 자체가 없어 판단 불가
1332-21-4,ASBESTOS,62,Siloxanes,2,47;62,kosha_registered,no_data,False,False,ERROR,False,"OK(evaluation_data 미등장, Wave1/eval 파생 아님)",REJECT,발암1급(석면류) — 기존 청석면(12001-28-4) 배제 선례와 동일 계열. coverage gain과 무관하게 안전/윤리 사유로 배제
17928-28-8,METHYLTRIS(TRIMETHYLSILOXY)SILANE,62,Siloxanes,2,62,kosha_registered,no_data,False,False,MATCH,False,"OK(evaluation_data 미등장, Wave1/eval 파생 아님)",HOLD,"그룹62(현재 2종) §10 근거 빈약 — 자동판정 애매, 사람 검토 필요"
2097-19-0,PHENYLSILATRANE,62,Siloxanes,2,14;62,kosha_abstain,,False,False,MATCH,False,"OK(evaluation_data 미등장, Wave1/eval 파생 아님)",DATA_UNAVAILABLE,KOSHA 미등록 또는 미시도 — MSDS 원문 자체가 없어 판단 불가
2288-13-3,METHYLSILATRANE,62,Siloxanes,2,14;62,kosha_abstain,,False,False,MATCH,False,"OK(evaluation_data 미등장, Wave1/eval 파생 아님)",DATA_UNAVAILABLE,KOSHA 미등록 또는 미시도 — MSDS 원문 자체가 없어 판단 불가
