query_id,cas_a,cas_b,gold_chunk,gold_chunk_cas,rank_426,in_259_valid
pair::10118-76-0::102-67-0::t2,10118-76-0,102-67-0,sec::10118-76-0::10,10118-76-0,2,True
pair::10118-76-0::102-67-0::t2,10118-76-0,102-67-0,sec::10118-76-0::2,10118-76-0,3,True
pair::10118-76-0::102-67-0::t2,10118-76-0,102-67-0,sec::102-67-0::10,102-67-0,1,True
pair::10118-76-0::102-67-0::t2,10118-76-0,102-67-0,sec::102-67-0::2,102-67-0,5,True
pair::10118-76-0::102-67-0::t3,10118-76-0,102-67-0,sec::10118-76-0::10,10118-76-0,2,True
pair::10118-76-0::102-67-0::t3,10118-76-0,102-67-0,sec::10118-76-0::2,10118-76-0,,True
pair::10118-76-0::102-67-0::t3,10118-76-0,102-67-0,sec::102-67-0::10,102-67-0,1,True
pair::10118-76-0::102-67-0::t3,10118-76-0,102-67-0,sec::102-67-0::2,102-67-0,,True
pair::10118-76-0::102-67-0::t4,10118-76-0,102-67-0,sec::10118-76-0::10,10118-76-0,3,True
pair::10118-76-0::102-67-0::t4,10118-76-0,102-67-0,sec::10118-76-0::2,10118-76-0,4,True
pair::10118-76-0::102-67-0::t4,10118-76-0,102-67-0,sec::102-67-0::10,102-67-0,1,True
pair::10118-76-0::102-67-0::t4,10118-76-0,102-67-0,sec::102-67-0::2,102-67-0,2,True
pair::101-90-6::1344-00-9::t0,101-90-6,1344-00-9,sec::101-90-6::10,101-90-6,1,True
pair::101-90-6::1344-00-9::t0,101-90-6,1344-00-9,sec::101-90-6::2,101-90-6,2,True
pair::101-90-6::1344-00-9::t0,101-90-6,1344-00-9,sec::1344-00-9::10,1344-00-9,3,True
pair::101-90-6::1344-00-9::t0,101-90-6,1344-00-9,sec::1344-00-9::2,1344-00-9,7,True
pair::101-90-6::1344-00-9::t1,101-90-6,1344-00-9,sec::101-90-6::10,101-90-6,1,True
pair::101-90-6::1344-00-9::t1,101-90-6,1344-00-9,sec::101-90-6::2,101-90-6,2,True
pair::101-90-6::1344-00-9::t1,101-90-6,1344-00-9,sec::1344-00-9::10,1344-00-9,3,True
pair::101-90-6::1344-00-9::t1,101-90-6,1344-00-9,sec::1344-00-9::2,1344-00-9,4,True
pair::101-90-6::1344-00-9::t2,101-90-6,1344-00-9,sec::101-90-6::10,101-90-6,2,True
pair::101-90-6::1344-00-9::t2,101-90-6,1344-00-9,sec::101-90-6::2,101-90-6,1,True
pair::101-90-6::1344-00-9::t2,101-90-6,1344-00-9,sec::1344-00-9::10,1344-00-9,3,True
pair::101-90-6::1344-00-9::t2,101-90-6,1344-00-9,sec::1344-00-9::2,1344-00-9,4,True
pair::101-90-6::1344-00-9::t3,101-90-6,1344-00-9,sec::101-90-6::10,101-90-6,1,True
pair::101-90-6::1344-00-9::t3,101-90-6,1344-00-9,sec::101-90-6::2,101-90-6,2,True
pair::101-90-6::1344-00-9::t3,101-90-6,1344-00-9,sec::1344-00-9::10,1344-00-9,3,True
pair::101-90-6::1344-00-9::t3,101-90-6,1344-00-9,sec::1344-00-9::2,1344-00-9,7,True
pair::101-90-6::1344-00-9::t4,101-90-6,1344-00-9,sec::101-90-6::10,101-90-6,1,True
pair::101-90-6::1344-00-9::t4,101-90-6,1344-00-9,sec::101-90-6::2,101-90-6,2,True
pair::101-90-6::1344-00-9::t4,101-90-6,1344-00-9,sec::1344-00-9::10,1344-00-9,3,True
pair::101-90-6::1344-00-9::t4,101-90-6,1344-00-9,sec::1344-00-9::2,1344-00-9,4,True
pair::10026-17-2::121-17-5::t0,10026-17-2,121-17-5,sec::10026-17-2::10,10026-17-2,1,True
pair::10026-17-2::121-17-5::t0,10026-17-2,121-17-5,sec::10026-17-2::2,10026-17-2,2,True
pair::10026-17-2::121-17-5::t0,10026-17-2,121-17-5,sec::121-17-5::10,121-17-5,3,True
pair::10026-17-2::121-17-5::t0,10026-17-2,121-17-5,sec::121-17-5::2,121-17-5,4,True
pair::10026-17-2::121-17-5::t1,10026-17-2,121-17-5,sec::10026-17-2::10,10026-17-2,2,True
pair::10026-17-2::121-17-5::t1,10026-17-2,121-17-5,sec::10026-17-2::2,10026-17-2,1,True
pair::10026-17-2::121-17-5::t1,10026-17-2,121-17-5,sec::121-17-5::10,121-17-5,3,True
pair::10026-17-2::121-17-5::t1,10026-17-2,121-17-5,sec::121-17-5::2,121-17-5,4,True
pair::10026-17-2::121-17-5::t2,10026-17-2,121-17-5,sec::10026-17-2::10,10026-17-2,1,True
pair::10026-17-2::121-17-5::t2,10026-17-2,121-17-5,sec::10026-17-2::2,10026-17-2,2,True
pair::10026-17-2::121-17-5::t2,10026-17-2,121-17-5,sec::121-17-5::10,121-17-5,3,True
pair::10026-17-2::121-17-5::t2,10026-17-2,121-17-5,sec::121-17-5::2,121-17-5,4,True
pair::10026-17-2::121-17-5::t3,10026-17-2,121-17-5,sec::10026-17-2::10,10026-17-2,1,True
pair::10026-17-2::121-17-5::t3,10026-17-2,121-17-5,sec::10026-17-2::2,10026-17-2,3,True
pair::10026-17-2::121-17-5::t3,10026-17-2,121-17-5,sec::121-17-5::10,121-17-5,2,True
pair::10026-17-2::121-17-5::t3,10026-17-2,121-17-5,sec::121-17-5::2,121-17-5,4,True
pair::10026-17-2::121-17-5::t4,10026-17-2,121-17-5,sec::10026-17-2::10,10026-17-2,2,True
pair::10026-17-2::121-17-5::t4,10026-17-2,121-17-5,sec::10026-17-2::2,10026-17-2,1,True
pair::10026-17-2::121-17-5::t4,10026-17-2,121-17-5,sec::121-17-5::10,121-17-5,4,True
pair::10026-17-2::121-17-5::t4,10026-17-2,121-17-5,sec::121-17-5::2,121-17-5,3,True
pair::10025-91-9::117-39-5::t0,10025-91-9,117-39-5,sec::10025-91-9::10,10025-91-9,1,True
pair::10025-91-9::117-39-5::t0,10025-91-9,117-39-5,sec::10025-91-9::2,10025-91-9,2,True
pair::10025-91-9::117-39-5::t0,10025-91-9,117-39-5,sec::117-39-5::10,117-39-5,5,True
pair::10025-91-9::117-39-5::t0,10025-91-9,117-39-5,sec::117-39-5::2,117-39-5,10,True
pair::10025-91-9::117-39-5::t1,10025-91-9,117-39-5,sec::10025-91-9::10,10025-91-9,2,True
pair::10025-91-9::117-39-5::t1,10025-91-9,117-39-5,sec::10025-91-9::2,10025-91-9,1,True
pair::10025-91-9::117-39-5::t1,10025-91-9,117-39-5,sec::117-39-5::10,117-39-5,6,True
pair::10025-91-9::117-39-5::t1,10025-91-9,117-39-5,sec::117-39-5::2,117-39-5,5,True
pair::10025-91-9::117-39-5::t2,10025-91-9,117-39-5,sec::10025-91-9::10,10025-91-9,2,True
pair::10025-91-9::117-39-5::t2,10025-91-9,117-39-5,sec::10025-91-9::2,10025-91-9,1,True
pair::10025-91-9::117-39-5::t2,10025-91-9,117-39-5,sec::117-39-5::10,117-39-5,4,True
pair::10025-91-9::117-39-5::t2,10025-91-9,117-39-5,sec::117-39-5::2,117-39-5,7,True
pair::10025-91-9::117-39-5::t3,10025-91-9,117-39-5,sec::10025-91-9::10,10025-91-9,1,True
pair::10025-91-9::117-39-5::t3,10025-91-9,117-39-5,sec::10025-91-9::2,10025-91-9,2,True
pair::10025-91-9::117-39-5::t3,10025-91-9,117-39-5,sec::117-39-5::10,117-39-5,6,True
pair::10025-91-9::117-39-5::t3,10025-91-9,117-39-5,sec::117-39-5::2,117-39-5,8,True
pair::10025-91-9::117-39-5::t4,10025-91-9,117-39-5,sec::10025-91-9::10,10025-91-9,2,True
pair::10025-91-9::117-39-5::t4,10025-91-9,117-39-5,sec::10025-91-9::2,10025-91-9,1,True
pair::10025-91-9::117-39-5::t4,10025-91-9,117-39-5,sec::117-39-5::10,117-39-5,8,True
pair::10025-91-9::117-39-5::t4,10025-91-9,117-39-5,sec::117-39-5::2,117-39-5,6,True
pair::115-19-5::12136-45-7::t0,115-19-5,12136-45-7,sec::115-19-5::10,115-19-5,1,True
pair::115-19-5::12136-45-7::t0,115-19-5,12136-45-7,sec::115-19-5::2,115-19-5,2,True
pair::115-19-5::12136-45-7::t0,115-19-5,12136-45-7,sec::12136-45-7::10,12136-45-7,3,True
pair::115-19-5::12136-45-7::t0,115-19-5,12136-45-7,sec::12136-45-7::2,12136-45-7,10,True
pair::115-19-5::12136-45-7::t1,115-19-5,12136-45-7,sec::115-19-5::10,115-19-5,2,True
pair::115-19-5::12136-45-7::t1,115-19-5,12136-45-7,sec::115-19-5::2,115-19-5,1,True
pair::115-19-5::12136-45-7::t1,115-19-5,12136-45-7,sec::12136-45-7::10,12136-45-7,4,True
pair::115-19-5::12136-45-7::t1,115-19-5,12136-45-7,sec::12136-45-7::2,12136-45-7,3,True
pair::115-19-5::12136-45-7::t2,115-19-5,12136-45-7,sec::115-19-5::10,115-19-5,2,True
pair::115-19-5::12136-45-7::t2,115-19-5,12136-45-7,sec::115-19-5::2,115-19-5,1,True
pair::115-19-5::12136-45-7::t2,115-19-5,12136-45-7,sec::12136-45-7::10,12136-45-7,3,True
pair::115-19-5::12136-45-7::t2,115-19-5,12136-45-7,sec::12136-45-7::2,12136-45-7,4,True
pair::115-19-5::12136-45-7::t3,115-19-5,12136-45-7,sec::115-19-5::10,115-19-5,1,True
pair::115-19-5::12136-45-7::t3,115-19-5,12136-45-7,sec::115-19-5::2,115-19-5,3,True
pair::115-19-5::12136-45-7::t3,115-19-5,12136-45-7,sec::12136-45-7::10,12136-45-7,2,True
pair::115-19-5::12136-45-7::t3,115-19-5,12136-45-7,sec::12136-45-7::2,12136-45-7,17,True
pair::115-19-5::12136-45-7::t4,115-19-5,12136-45-7,sec::115-19-5::10,115-19-5,2,True
pair::115-19-5::12136-45-7::t4,115-19-5,12136-45-7,sec::115-19-5::2,115-19-5,1,True
pair::115-19-5::12136-45-7::t4,115-19-5,12136-45-7,sec::12136-45-7::10,12136-45-7,5,True
pair::115-19-5::12136-45-7::t4,115-19-5,12136-45-7,sec::12136-45-7::2,12136-45-7,3,True
pair::12136-45-7::67-64-1::t0,12136-45-7,67-64-1,sec::12136-45-7::10,12136-45-7,1,True
pair::12136-45-7::67-64-1::t0,12136-45-7,67-64-1,sec::12136-45-7::2,12136-45-7,10,True
pair::12136-45-7::67-64-1::t0,12136-45-7,67-64-1,sec::67-64-1::10,67-64-1,8,True
pair::12136-45-7::67-64-1::t0,12136-45-7,67-64-1,sec::67-64-1::2,67-64-1,,True
pair::12136-45-7::67-64-1::t1,12136-45-7,67-64-1,sec::12136-45-7::10,12136-45-7,3,True
pair::12136-45-7::67-64-1::t1,12136-45-7,67-64-1,sec::12136-45-7::2,12136-45-7,4,True
pair::12136-45-7::67-64-1::t1,12136-45-7,67-64-1,sec::67-64-1::10,67-64-1,11,True
pair::12136-45-7::67-64-1::t1,12136-45-7,67-64-1,sec::67-64-1::2,67-64-1,13,True
pair::12136-45-7::67-64-1::t2,12136-45-7,67-64-1,sec::12136-45-7::10,12136-45-7,1,True
pair::12136-45-7::67-64-1::t2,12136-45-7,67-64-1,sec::12136-45-7::2,12136-45-7,5,True
pair::12136-45-7::67-64-1::t2,12136-45-7,67-64-1,sec::67-64-1::10,67-64-1,,True
pair::12136-45-7::67-64-1::t2,12136-45-7,67-64-1,sec::67-64-1::2,67-64-1,,True
pair::12136-45-7::67-64-1::t3,12136-45-7,67-64-1,sec::12136-45-7::10,12136-45-7,1,True
pair::12136-45-7::67-64-1::t3,12136-45-7,67-64-1,sec::12136-45-7::2,12136-45-7,,True
pair::12136-45-7::67-64-1::t3,12136-45-7,67-64-1,sec::67-64-1::10,67-64-1,9,True
pair::12136-45-7::67-64-1::t3,12136-45-7,67-64-1,sec::67-64-1::2,67-64-1,,True
pair::12136-45-7::67-64-1::t4,12136-45-7,67-64-1,sec::12136-45-7::10,12136-45-7,4,True
pair::12136-45-7::67-64-1::t4,12136-45-7,67-64-1,sec::12136-45-7::2,12136-45-7,1,True
pair::12136-45-7::67-64-1::t4,12136-45-7,67-64-1,sec::67-64-1::10,67-64-1,8,True
pair::12136-45-7::67-64-1::t4,12136-45-7,67-64-1,sec::67-64-1::2,67-64-1,5,True
pair::104-88-1::7440-21-3::t0,104-88-1,7440-21-3,sec::104-88-1::10,104-88-1,1,True
pair::104-88-1::7440-21-3::t0,104-88-1,7440-21-3,sec::104-88-1::2,104-88-1,4,True
pair::104-88-1::7440-21-3::t0,104-88-1,7440-21-3,sec::7440-21-3::10,7440-21-3,2,True
pair::104-88-1::7440-21-3::t0,104-88-1,7440-21-3,sec::7440-21-3::2,7440-21-3,12,True
pair::104-88-1::7440-21-3::t1,104-88-1,7440-21-3,sec::104-88-1::10,104-88-1,2,True
pair::104-88-1::7440-21-3::t1,104-88-1,7440-21-3,sec::104-88-1::2,104-88-1,1,True
pair::104-88-1::7440-21-3::t1,104-88-1,7440-21-3,sec::7440-21-3::10,7440-21-3,3,True
pair::104-88-1::7440-21-3::t1,104-88-1,7440-21-3,sec::7440-21-3::2,7440-21-3,4,True
pair::104-88-1::7440-21-3::t2,104-88-1,7440-21-3,sec::104-88-1::10,104-88-1,2,True
pair::104-88-1::7440-21-3::t2,104-88-1,7440-21-3,sec::104-88-1::2,104-88-1,1,True
pair::104-88-1::7440-21-3::t2,104-88-1,7440-21-3,sec::7440-21-3::10,7440-21-3,7,True
pair::104-88-1::7440-21-3::t2,104-88-1,7440-21-3,sec::7440-21-3::2,7440-21-3,,True
pair::104-88-1::7440-21-3::t3,104-88-1,7440-21-3,sec::104-88-1::10,104-88-1,1,True
pair::104-88-1::7440-21-3::t3,104-88-1,7440-21-3,sec::104-88-1::2,104-88-1,3,True
pair::104-88-1::7440-21-3::t3,104-88-1,7440-21-3,sec::7440-21-3::10,7440-21-3,2,True
pair::104-88-1::7440-21-3::t3,104-88-1,7440-21-3,sec::7440-21-3::2,7440-21-3,,True
pair::104-88-1::7440-21-3::t4,104-88-1,7440-21-3,sec::104-88-1::10,104-88-1,1,True
pair::104-88-1::7440-21-3::t4,104-88-1,7440-21-3,sec::104-88-1::2,104-88-1,2,True
pair::104-88-1::7440-21-3::t4,104-88-1,7440-21-3,sec::7440-21-3::10,7440-21-3,4,True
pair::104-88-1::7440-21-3::t4,104-88-1,7440-21-3,sec::7440-21-3::2,7440-21-3,3,True
pair::100-07-2::7697-37-2::t0,100-07-2,7697-37-2,sec::100-07-2::10,100-07-2,1,True
pair::100-07-2::7697-37-2::t0,100-07-2,7697-37-2,sec::100-07-2::2,100-07-2,2,True
pair::100-07-2::7697-37-2::t0,100-07-2,7697-37-2,sec::7697-37-2::10,7697-37-2,5,True
pair::100-07-2::7697-37-2::t0,100-07-2,7697-37-2,sec::7697-37-2::2,7697-37-2,7,True
pair::100-07-2::7697-37-2::t1,100-07-2,7697-37-2,sec::100-07-2::10,100-07-2,1,True
pair::100-07-2::7697-37-2::t1,100-07-2,7697-37-2,sec::100-07-2::2,100-07-2,2,True
pair::100-07-2::7697-37-2::t1,100-07-2,7697-37-2,sec::7697-37-2::10,7697-37-2,5,True
pair::100-07-2::7697-37-2::t1,100-07-2,7697-37-2,sec::7697-37-2::2,7697-37-2,7,True
pair::100-07-2::7697-37-2::t2,100-07-2,7697-37-2,sec::100-07-2::10,100-07-2,1,True
pair::100-07-2::7697-37-2::t2,100-07-2,7697-37-2,sec::100-07-2::2,100-07-2,2,True
pair::100-07-2::7697-37-2::t2,100-07-2,7697-37-2,sec::7697-37-2::10,7697-37-2,8,True
pair::100-07-2::7697-37-2::t2,100-07-2,7697-37-2,sec::7697-37-2::2,7697-37-2,4,True
pair::100-07-2::7697-37-2::t3,100-07-2,7697-37-2,sec::100-07-2::10,100-07-2,1,True
pair::100-07-2::7697-37-2::t3,100-07-2,7697-37-2,sec::100-07-2::2,100-07-2,2,True
pair::100-07-2::7697-37-2::t3,100-07-2,7697-37-2,sec::7697-37-2::10,7697-37-2,3,True
pair::100-07-2::7697-37-2::t3,100-07-2,7697-37-2,sec::7697-37-2::2,7697-37-2,13,True
pair::100-07-2::7697-37-2::t4,100-07-2,7697-37-2,sec::100-07-2::10,100-07-2,1,True
pair::100-07-2::7697-37-2::t4,100-07-2,7697-37-2,sec::100-07-2::2,100-07-2,2,True
pair::100-07-2::7697-37-2::t4,100-07-2,7697-37-2,sec::7697-37-2::10,7697-37-2,4,True
pair::100-07-2::7697-37-2::t4,100-07-2,7697-37-2,sec::7697-37-2::2,7697-37-2,6,True
pair::10025-73-7::10026-13-8::t0,10025-73-7,10026-13-8,sec::10025-73-7::10,10025-73-7,3,True
pair::10025-73-7::10026-13-8::t0,10025-73-7,10026-13-8,sec::10025-73-7::2,10025-73-7,4,True
pair::10025-73-7::10026-13-8::t0,10025-73-7,10026-13-8,sec::10026-13-8::10,10026-13-8,1,True
pair::10025-73-7::10026-13-8::t0,10025-73-7,10026-13-8,sec::10026-13-8::2,10026-13-8,2,True
pair::10025-73-7::10026-13-8::t1,10025-73-7,10026-13-8,sec::10025-73-7::10,10025-73-7,4,True
pair::10025-73-7::10026-13-8::t1,10025-73-7,10026-13-8,sec::10025-73-7::2,10025-73-7,3,True
pair::10025-73-7::10026-13-8::t1,10025-73-7,10026-13-8,sec::10026-13-8::10,10026-13-8,2,True
pair::10025-73-7::10026-13-8::t1,10025-73-7,10026-13-8,sec::10026-13-8::2,10026-13-8,1,True
pair::10025-73-7::10026-13-8::t2,10025-73-7,10026-13-8,sec::10025-73-7::10,10025-73-7,4,True
pair::10025-73-7::10026-13-8::t2,10025-73-7,10026-13-8,sec::10025-73-7::2,10025-73-7,3,True
pair::10025-73-7::10026-13-8::t2,10025-73-7,10026-13-8,sec::10026-13-8::10,10026-13-8,2,True
pair::10025-73-7::10026-13-8::t2,10025-73-7,10026-13-8,sec::10026-13-8::2,10026-13-8,1,True
pair::10025-73-7::10026-13-8::t3,10025-73-7,10026-13-8,sec::10025-73-7::10,10025-73-7,2,True
pair::10025-73-7::10026-13-8::t3,10025-73-7,10026-13-8,sec::10025-73-7::2,10025-73-7,4,True
pair::10025-73-7::10026-13-8::t3,10025-73-7,10026-13-8,sec::10026-13-8::10,10026-13-8,1,True
pair::10025-73-7::10026-13-8::t3,10025-73-7,10026-13-8,sec::10026-13-8::2,10026-13-8,3,True
pair::10025-73-7::10026-13-8::t4,10025-73-7,10026-13-8,sec::10025-73-7::10,10025-73-7,5,True
pair::10025-73-7::10026-13-8::t4,10025-73-7,10026-13-8,sec::10025-73-7::2,10025-73-7,3,True
pair::10025-73-7::10026-13-8::t4,10025-73-7,10026-13-8,sec::10026-13-8::10,10026-13-8,2,True
pair::10025-73-7::10026-13-8::t4,10025-73-7,10026-13-8,sec::10026-13-8::2,10026-13-8,1,True
pair::101-27-9::11138-49-1::t0,101-27-9,11138-49-1,sec::101-27-9::10,101-27-9,3,True
pair::101-27-9::11138-49-1::t0,101-27-9,11138-49-1,sec::101-27-9::2,101-27-9,5,True
pair::101-27-9::11138-49-1::t0,101-27-9,11138-49-1,sec::11138-49-1::10,11138-49-1,2,True
pair::101-27-9::11138-49-1::t0,101-27-9,11138-49-1,sec::11138-49-1::2,11138-49-1,1,True
pair::101-27-9::11138-49-1::t1,101-27-9,11138-49-1,sec::101-27-9::10,101-27-9,4,True
pair::101-27-9::11138-49-1::t1,101-27-9,11138-49-1,sec::101-27-9::2,101-27-9,3,True
pair::101-27-9::11138-49-1::t1,101-27-9,11138-49-1,sec::11138-49-1::10,11138-49-1,1,True
pair::101-27-9::11138-49-1::t1,101-27-9,11138-49-1,sec::11138-49-1::2,11138-49-1,2,True
pair::101-27-9::11138-49-1::t2,101-27-9,11138-49-1,sec::101-27-9::10,101-27-9,2,True
pair::101-27-9::11138-49-1::t2,101-27-9,11138-49-1,sec::101-27-9::2,101-27-9,3,True
pair::101-27-9::11138-49-1::t2,101-27-9,11138-49-1,sec::11138-49-1::10,11138-49-1,4,True
pair::101-27-9::11138-49-1::t2,101-27-9,11138-49-1,sec::11138-49-1::2,11138-49-1,1,True
pair::101-27-9::11138-49-1::t3,101-27-9,11138-49-1,sec::101-27-9::10,101-27-9,1,True
pair::101-27-9::11138-49-1::t3,101-27-9,11138-49-1,sec::101-27-9::2,101-27-9,4,True
pair::101-27-9::11138-49-1::t3,101-27-9,11138-49-1,sec::11138-49-1::10,11138-49-1,2,True
pair::101-27-9::11138-49-1::t3,101-27-9,11138-49-1,sec::11138-49-1::2,11138-49-1,3,True
