cas_number,name_ko,core_axis,origin,kosha,msds,rag_chunk,indexed,cameo,tier
22537-19-5,로렌슘,periodic_element,CORE207,False,False,False,False,False,X · 서비스 불가(KOSHA 미등재)
26628-22-8,아자이드화나트륨,representative,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
27176-87-0,도데실벤젠술폰산,practical,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
302-01-2,하이드라진,practical,신규편입,True,True,False,False,False,C · 상세정보만
3811-04-9,염소산칼륨,educational,CORE207,True,True,True,False,True,B1 · 검색 근거 결여(판정·상세 가능)
471-34-1,탄산칼슘,educational,CORE207,True,True,True,False,True,B1 · 검색 근거 결여(판정·상세 가능)
497-19-8,탄산나트륨,representative,CORE207,True,True,False,False,False,C · 상세정보만
50-00-0,폼알데하이드,representative,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
53850-35-4,더브늄,periodic_element,CORE207,False,False,False,False,False,X · 서비스 불가(KOSHA 미등재)
53850-36-5,러더포듐,periodic_element,CORE207,False,False,False,False,False,X · 서비스 불가(KOSHA 미등재)
540-72-7,싸이오사이안산나트륨,educational,CORE207,True,True,True,False,True,B1 · 검색 근거 결여(판정·상세 가능)
54037-14-8,보륨,periodic_element,CORE207,False,False,False,False,False,X · 서비스 불가(KOSHA 미등재)
54037-57-9,하슘,periodic_element,CORE207,False,False,False,False,False,X · 서비스 불가(KOSHA 미등재)
54038-01-6,마이트너륨,periodic_element,CORE207,False,False,False,False,False,X · 서비스 불가(KOSHA 미등재)
54038-81-2,시보귬,periodic_element,CORE207,False,False,False,False,False,X · 서비스 불가(KOSHA 미등재)
54083-77-1,다름슈타튬,periodic_element,CORE207,False,False,False,False,False,X · 서비스 불가(KOSHA 미등재)
54084-26-3,코페르니슘,periodic_element,CORE207,False,False,False,False,False,X · 서비스 불가(KOSHA 미등재)
54084-70-7,니호늄,periodic_element,CORE207,False,False,False,False,False,X · 서비스 불가(KOSHA 미등재)
54085-16-4,플레로븀,periodic_element,CORE207,False,False,False,False,False,X · 서비스 불가(KOSHA 미등재)
54085-64-2,모스코븀,periodic_element,CORE207,False,False,False,False,False,X · 서비스 불가(KOSHA 미등재)
54100-71-9,리버모륨,periodic_element,CORE207,False,False,False,False,False,X · 서비스 불가(KOSHA 미등재)
54144-19-3,오가네손,periodic_element,CORE207,False,False,False,False,False,X · 서비스 불가(KOSHA 미등재)
54386-24-2,뢴트게늄,periodic_element,CORE207,False,False,False,False,False,X · 서비스 불가(KOSHA 미등재)
547-58-0,메틸오렌지,educational,신규편입,True,True,False,False,True,B1 · 검색 근거 결여(판정·상세 가능)
5470-11-1,하이드록실아민 염산염,educational,신규편입,True,True,True,True,True,A · 계약 4조건 전부 충족
57-13-6,요소,educational,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
60-00-4,에틸렌다이아민테트라아세트산,educational,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
60-29-7,다이에틸에터,representative,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
62-53-3,아닐린,representative,신규편입,True,True,False,False,False,C · 상세정보만
62-76-0,옥살산나트륨,educational,CORE207,True,True,True,False,True,B1 · 검색 근거 결여(판정·상세 가능)
630-08-0,일산화탄소,fundamental,CORE207,True,True,False,False,False,C · 상세정보만
64-17-5,에탄올,fundamental,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
64-19-7,아세트산,representative,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
6484-52-2,질산암모늄,practical,CORE207,True,True,True,False,True,B1 · 검색 근거 결여(판정·상세 가능)
67-56-1,메탄올,fundamental,CORE207,True,True,False,False,False,C · 상세정보만
67-63-0,아이소프로필알코올,fundamental,신규편입,True,True,False,False,False,C · 상세정보만
67-64-1,아세톤,fundamental,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
68-12-2,"N,N-다이메틸폼아마이드",fundamental,신규편입,True,True,False,False,False,C · 상세정보만
69-72-7,살리실산,educational,신규편입,True,True,False,False,True,B1 · 검색 근거 결여(판정·상세 가능)
71-43-2,벤젠,fundamental,CORE207,True,True,False,False,False,C · 상세정보만
7220-79-3,메틸렌 블루,educational,신규편입,True,True,True,True,True,A · 계약 4조건 전부 충족
74-82-8,메탄,fundamental,CORE207,True,True,False,False,False,C · 상세정보만
74-85-1,에틸렌,representative,CORE207,True,True,False,False,False,C · 상세정보만
74-86-2,아세틸렌,representative,CORE207,True,True,False,False,False,C · 상세정보만
74-98-6,프로페인,practical,신규편입,True,True,False,False,False,C · 상세정보만
7429-90-5,알루미늄,periodic_element,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
7429-91-6,디스프로슘,periodic_element,CORE207,True,True,False,False,False,C · 상세정보만
7429-92-7,아인슈타이늄,periodic_element,CORE207,False,False,False,False,False,X · 서비스 불가(KOSHA 미등재)
7439-88-5,이리듐,periodic_element,CORE207,True,True,False,False,False,C · 상세정보만
7439-89-6,철,periodic_element,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
7439-90-9,크립톤,periodic_element,CORE207,True,True,False,False,True,B1 · 검색 근거 결여(판정·상세 가능)
7439-91-0,란타넘,periodic_element,CORE207,True,True,False,False,False,C · 상세정보만
7439-92-1,납,periodic_element,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
7439-93-2,리튬,periodic_element,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
7439-94-3,루테튬,periodic_element,CORE207,False,False,False,False,False,X · 서비스 불가(KOSHA 미등재)
7439-95-4,마그네슘,periodic_element,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
7439-96-5,망가니즈,periodic_element,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
7439-97-6,수은,periodic_element,CORE207,True,True,False,False,False,C · 상세정보만
7439-98-7,몰리브데넘,periodic_element,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
7439-99-8,넵투늄,periodic_element,CORE207,False,False,False,False,False,X · 서비스 불가(KOSHA 미등재)
7440-00-8,네오디뮴,periodic_element,CORE207,True,True,False,False,False,C · 상세정보만
7440-01-9,네온,periodic_element,CORE207,True,True,False,False,True,B1 · 검색 근거 결여(판정·상세 가능)
7440-02-0,니켈,periodic_element,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
7440-03-1,나이오븀,periodic_element,CORE207,True,True,False,False,False,C · 상세정보만
7440-04-2,오스뮴,periodic_element,CORE207,True,True,False,False,False,C · 상세정보만
7440-05-3,팔라듐,periodic_element,CORE207,True,True,False,False,False,C · 상세정보만
7440-06-4,백금,periodic_element,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
7440-07-5,플루토늄,periodic_element,CORE207,False,False,False,False,False,X · 서비스 불가(KOSHA 미등재)
7440-08-6,폴로늄,periodic_element,CORE207,False,False,False,False,False,X · 서비스 불가(KOSHA 미등재)
7440-09-7,칼륨,periodic_element,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
7440-10-0,프라세오디뮴,periodic_element,CORE207,False,False,False,False,False,X · 서비스 불가(KOSHA 미등재)
7440-11-1,멘델레븀,periodic_element,CORE207,False,False,False,False,False,X · 서비스 불가(KOSHA 미등재)
7440-12-2,프로메튬,periodic_element,CORE207,False,False,False,False,False,X · 서비스 불가(KOSHA 미등재)
7440-13-3,프로트악티늄,periodic_element,CORE207,False,False,False,False,False,X · 서비스 불가(KOSHA 미등재)
7440-14-4,라듐,periodic_element,CORE207,False,False,False,False,False,X · 서비스 불가(KOSHA 미등재)
7440-15-5,레늄,periodic_element,CORE207,True,True,False,False,False,C · 상세정보만
7440-16-6,로듐,periodic_element,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
7440-17-7,루비듐,periodic_element,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
7440-18-8,루테늄,periodic_element,CORE207,True,True,False,False,False,C · 상세정보만
7440-19-9,사마륨,periodic_element,CORE207,True,True,False,False,False,C · 상세정보만
7440-20-2,스칸듐,periodic_element,CORE207,True,True,False,False,False,C · 상세정보만
7440-21-3,규소,periodic_element,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
7440-22-4,은,periodic_element,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
7440-23-5,나트륨,periodic_element,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
7440-24-6,스트론튬,periodic_element,CORE207,True,True,False,False,False,C · 상세정보만
7440-25-7,탄탈럼,periodic_element,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
7440-26-8,테크네튬,periodic_element,CORE207,False,False,False,False,False,X · 서비스 불가(KOSHA 미등재)
7440-27-9,터븀,periodic_element,CORE207,True,True,False,False,False,C · 상세정보만
7440-28-0,탈륨,periodic_element,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
7440-29-1,토륨,periodic_element,CORE207,True,True,False,False,False,C · 상세정보만
7440-30-4,툴륨,periodic_element,CORE207,False,False,False,False,False,X · 서비스 불가(KOSHA 미등재)
7440-31-5,주석,periodic_element,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
7440-32-6,티타늄,periodic_element,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
7440-33-7,텅스텐,periodic_element,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
7440-34-8,악티늄,periodic_element,CORE207,False,False,False,False,False,X · 서비스 불가(KOSHA 미등재)
7440-35-9,아메리슘,periodic_element,CORE207,False,False,False,False,False,X · 서비스 불가(KOSHA 미등재)
7440-36-0,안티모니,periodic_element,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
7440-37-1,아르곤,periodic_element,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
7440-38-2,비소,periodic_element,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
7440-39-3,바륨,periodic_element,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
7440-40-6,버클륨,periodic_element,CORE207,False,False,False,False,False,X · 서비스 불가(KOSHA 미등재)
7440-41-7,베릴륨,periodic_element,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
7440-42-8,붕소,periodic_element,CORE207,True,True,False,False,False,C · 상세정보만
7440-43-9,카드뮴,periodic_element,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
7440-44-0,탄소,periodic_element,CORE207,True,True,False,False,False,C · 상세정보만
7440-45-1,세륨,periodic_element,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
7440-46-2,세슘,periodic_element,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
7440-47-3,크로뮴,periodic_element,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
7440-48-4,코발트,periodic_element,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
7440-50-8,구리,periodic_element,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
7440-51-9,퀴륨,periodic_element,CORE207,False,False,False,False,False,X · 서비스 불가(KOSHA 미등재)
7440-52-0,어븀,periodic_element,CORE207,False,False,False,False,False,X · 서비스 불가(KOSHA 미등재)
7440-53-1,유로퓸,periodic_element,CORE207,True,True,False,False,False,C · 상세정보만
7440-54-2,가돌리늄,periodic_element,CORE207,True,True,False,False,False,C · 상세정보만
7440-55-3,갈륨,periodic_element,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
7440-56-4,저마늄,periodic_element,CORE207,True,True,False,False,False,C · 상세정보만
7440-57-5,금,periodic_element,CORE207,True,True,False,False,False,C · 상세정보만
7440-58-6,하프늄,periodic_element,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
7440-59-7,헬륨,periodic_element,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
7440-60-0,홀뮴,periodic_element,CORE207,False,False,False,False,False,X · 서비스 불가(KOSHA 미등재)
7440-61-1,우라늄,periodic_element,CORE207,True,True,False,False,False,C · 상세정보만
7440-62-2,바나듐,periodic_element,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
7440-63-3,제논,periodic_element,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
7440-64-4,이터븀,periodic_element,CORE207,True,True,False,False,False,C · 상세정보만
7440-65-5,이트륨,periodic_element,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
7440-66-6,아연,periodic_element,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
7440-67-7,지르코늄,periodic_element,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
7440-68-8,아스타틴,periodic_element,CORE207,False,False,False,False,False,X · 서비스 불가(KOSHA 미등재)
7440-69-9,비스무트,periodic_element,CORE207,True,True,False,False,False,C · 상세정보만
7440-70-2,칼슘,periodic_element,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
7440-71-3,캘리포늄,periodic_element,CORE207,False,False,False,False,False,X · 서비스 불가(KOSHA 미등재)
7440-72-4,페르뮴,periodic_element,CORE207,False,False,False,False,False,X · 서비스 불가(KOSHA 미등재)
7440-73-5,프랑슘,periodic_element,CORE207,False,False,False,False,False,X · 서비스 불가(KOSHA 미등재)
7440-74-6,인듐,periodic_element,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
7446-70-0,염화알루미늄(무수),practical,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
7447-40-7,염화칼륨,educational,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
7487-94-7,염화수은(II),practical,신규편입,True,True,True,True,True,A · 계약 4조건 전부 충족
75-05-8,아세토나이트릴,fundamental,신규편입,True,True,False,False,False,C · 상세정보만
75-09-2,다이클로로메테인,fundamental,신규편입,True,True,False,False,False,C · 상세정보만
75-78-5,다이메틸다이클로로실란,representative,신규편입,True,True,False,False,False,C · 상세정보만
7553-56-2,아이오딘,periodic_element,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
7601-90-3,과염소산,fundamental,신규편입,True,True,False,False,False,C · 상세정보만
7631-90-5,아황산수소나트륨,practical,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
7632-00-0,아질산나트륨,representative,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
7646-69-7,수소화나트륨,representative,신규편입,True,True,False,False,True,B1 · 검색 근거 결여(판정·상세 가능)
7646-85-7,염화아연,practical,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
7647-01-0,염화수소,fundamental,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
7647-14-5,염화나트륨,representative,CORE207,True,True,False,False,False,C · 상세정보만
7664-38-2,인산,fundamental,신규편입,True,True,False,False,True,B1 · 검색 근거 결여(판정·상세 가능)
7664-39-3,불화수소,fundamental,CORE207,True,True,False,False,False,C · 상세정보만
7664-41-7,암모니아,fundamental,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
7664-93-9,황산,fundamental,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
7681-11-0,아이오딘화칼륨,educational,CORE207,True,True,True,False,True,B1 · 검색 근거 결여(판정·상세 가능)
7681-38-1,황산수소나트륨,practical,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
7681-49-4,불화나트륨,practical,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
7697-37-2,질산,fundamental,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
77-09-8,페놀프탈레인,educational,신규편입,True,True,False,False,False,C · 상세정보만
7704-34-9,황,periodic_element,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
7705-08-0,염화철(III),educational,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
7722-64-7,과망가니즈산칼륨,representative,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
7722-84-1,과산화수소,fundamental,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
7723-14-0,인,periodic_element,CORE207,True,True,False,False,False,C · 상세정보만
7726-95-6,브로민,periodic_element,CORE207,True,True,False,False,False,C · 상세정보만
7727-21-1,과황산칼륨,practical,CORE207,True,True,True,False,True,B1 · 검색 근거 결여(판정·상세 가능)
7727-37-9,질소,periodic_element,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
7727-54-0,과황산암모늄,practical,CORE207,True,True,True,False,True,B1 · 검색 근거 결여(판정·상세 가능)
7732-18-5,물,fundamental,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
7757-79-1,질산칼륨,representative,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
7758-19-2,아염소산나트륨,practical,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
7758-94-3,염화철(II),practical,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
7758-98-7,황산구리,representative,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
7761-88-8,질산은,representative,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
7772-98-7,싸이오황산나트륨,educational,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
7772-99-8,염화주석(II),practical,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
7775-09-9,염소산나트륨,practical,CORE207,True,True,True,False,True,B1 · 검색 근거 결여(판정·상세 가능)
7778-50-9,중크롬산칼륨,representative,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
7778-54-3,차아염소산칼슘,practical,CORE207,True,True,True,False,True,B1 · 검색 근거 결여(판정·상세 가능)
7778-66-7,차아염소산칼륨 용액,practical,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
7782-41-4,불소,periodic_element,CORE207,True,True,False,False,False,C · 상세정보만
7782-44-7,산소,periodic_element,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
7782-49-2,셀레늄,periodic_element,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
7782-50-5,염소,periodic_element,CORE207,True,True,False,False,False,C · 상세정보만
7786-81-4,황산니켈(II),educational,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
7789-00-6,크로뮴산칼륨,educational,CORE207,True,True,True,False,True,B1 · 검색 근거 결여(판정·상세 가능)
78-93-3,메틸에틸케톤,practical,신규편입,True,True,False,False,False,C · 상세정보만
79-06-1,아크릴아마이드,practical,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
8049-17-0,페로실리콘,practical,신규편입,True,True,True,True,True,A · 계약 4조건 전부 충족
87658-56-8,테네신,periodic_element,CORE207,False,False,False,False,False,X · 서비스 불가(KOSHA 미등재)
94-36-0,과산화벤조일,representative,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
98-88-4,벤조일 클로라이드,representative,신규편입,True,True,False,False,False,C · 상세정보만
98-95-3,나이트로벤젠,representative,신규편입,True,True,False,False,False,C · 상세정보만
