cas,chemical_name,category_before,decision_before,category_after,decision_after
13637-76-8,LEAD PERCHLORATE,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,중복 검토(REMOVE/MERGE 후보)
13967-90-3,BARIUM BROMATE,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,중복 검토(REMOVE/MERGE 후보)
14307-35-8,LITHIUM CHROMATE,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,중복 검토(REMOVE/MERGE 후보)
14452-57-4,MAGNESIUM PEROXIDE,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,중복 검토(REMOVE/MERGE 후보)
14519-17-6,MAGNESIUM BROMATE,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,중복 검토(REMOVE/MERGE 후보)
15541-45-4,"BROMATES, INORGANIC, N.O.S.",HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,중복 검토(REMOVE/MERGE 후보)
2244-21-5,"POTASSIUM DICHLORO-S-TRIAZINETRIONE, DRY",HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,중복 검토(REMOVE/MERGE 후보)
2782-57-2,"DICHLOROISOCYANURIC ACID, DRY",HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,중복 검토(REMOVE/MERGE 후보)
3811-04-9,POTASSIUM CHLORATE,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,중복 검토(REMOVE/MERGE 후보)
7601-89-0,SODIUM PERCHLORATE,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,중복 검토(REMOVE/MERGE 후보)
7727-21-1,POTASSIUM PERSULFATE,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,중복 검토(REMOVE/MERGE 후보)
7727-54-0,AMMONIUM PERSULFATE,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,중복 검토(REMOVE/MERGE 후보)
7758-01-2,POTASSIUM BROMATE,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,중복 검토(REMOVE/MERGE 후보)
7775-09-9,SODIUM CHLORATE,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,중복 검토(REMOVE/MERGE 후보)
7775-27-1,SODIUM PERSULFATE,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,중복 검토(REMOVE/MERGE 후보)
7778-54-3,CALCIUM HYPOCHLORITE,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,근거 부족/검토
7787-36-2,BARIUM PERMANGANATE,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,중복 검토(REMOVE/MERGE 후보)
7789-06-2,STRONTIUM CHROMATE,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,중복 검토(REMOVE/MERGE 후보)
7789-09-5,AMMONIUM DICHROMATE,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,중복 검토(REMOVE/MERGE 후보)
7789-38-0,SODIUM BROMATE,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,중복 검토(REMOVE/MERGE 후보)
7790-98-9,AMMONIUM PERCHLORATE,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,중복 검토(REMOVE/MERGE 후보)
7791-21-1,CHLORINE MONOXIDE,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,중복 검토(REMOVE/MERGE 후보)
15699-18-0,NICKEL AMMONIUM SULFATE,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,중복 검토(REMOVE/MERGE 후보)
10049-05-5,CHROMOUS CHLORIDE,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,중복 검토(REMOVE/MERGE 후보)
21651-19-4,TIN(II) OXIDE,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,중복 검토(REMOVE/MERGE 후보)
540-72-7,SODIUM THIOCYANATE,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,근거 부족/검토
603-35-0,TRIPHENYL PHOSPHINE,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,근거 부족/검토
7803-65-8,AMMONIUM HYPOPHOSPHITE,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,중복 검토(REMOVE/MERGE 후보)
127-95-7,POTASSIUM HYDROGEN OXALATE,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,중복 검토(REMOVE/MERGE 후보)
301-13-3,TRIS(2-ETHYLHEXYL) PHOSPHITE,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,중복 검토(REMOVE/MERGE 후보)
516-03-0,FERROUS OXALATE,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,중복 검토(REMOVE/MERGE 후보)
62-76-0,SODIUM OXALATE,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,중복 검토(REMOVE/MERGE 후보)
7681-11-0,POTASSIUM IODIDE,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,중복 검토(REMOVE/MERGE 후보)
110-22-5,"ACETYL PEROXIDE SOLUTION, [&lt;= 25% PEROXIDE]",HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,중복 검토(REMOVE/MERGE 후보)
1194-65-6,DICHLOBENIL,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,근거 부족/검토
12262-58-7,"CYCLOHEXANONE PEROXIDE, NOT MORE THAN 72% IN SOLUTION",HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,중복 검토(REMOVE/MERGE 후보)
13780-03-5,"CALCIUM HYDROGEN SULFITE, SOLUTION",HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,중복 검토(REMOVE/MERGE 후보)
1854-26-8,DIMETHYLOLDIHYDROXYETHYLENEUREA,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,근거 부족/검토
1918-00-9,DICAMBA,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,근거 부족/검토
2492-26-4,SODIUM 2-MERCAPTOBENZOTHIAZOL SOLUTION,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,근거 부족/검토
25167-32-2,DODECYL DIPHENYL ETHER DISULFONATE SOLUTION,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,근거 부족/검토
3025-88-5,"2,5-DIMETHYL-2,5-DIHYDROPEROXY HEXANE, NOT MORE THAN 82% WITH WATER",HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,중복 검토(REMOVE/MERGE 후보)
50-99-7,DEXTROSE SOLUTION,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,근거 부족/검토
6484-52-2,AMMONIUM NITRATE,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,근거 부족/검토
7632-00-0,SODIUM NITRITE,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,근거 부족/검토
7783-18-8,AMMONIUM THIOSULFATE,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,중복 검토(REMOVE/MERGE 후보)
78-18-2,1-HYDROXY-1&#39;-HYDROPEROXY DICYCLOHEXYL PEROXIDE,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,중복 검토(REMOVE/MERGE 후보)
924-42-5,N-METHYLOLACRYLAMIDE,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,근거 부족/검토
