cas_number,chemical_name,wave,original_candidate_source,selection_source,selection_reason,selection_evidence,csv_assigned_group_id,true_cameo_groups,risk_relation,section10_categories,coverage_role,pubchem_verified,safety_flag,in_eval_testset,collection_status,selection_status
10025-91-9,ANTIMONY TRICHLORIDE,wave1,pool_supplement,wave1_topup,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음),01_collection/build_undergrad_target_list.py GROUP_TIER/TIER_SLOTS(근거 미기록) | evaluation_data:gold_pair.jsonl:pair::10025-91-9::117-39-5::t0;gold_pair.jsonl:pair::10025-91-9::117-39-5::t1;gold_pair.jsonl:pair::10025-91-9::117-39-5::t2,3,3;32;50,oxidizer,metal;water,,MATCH,NOT_CHECKED,True,COLLECTED,UNSUPPORTED
10026-06-9,"STANNIC CHLORIDE, PENTAHYDRATE",wave1,pool_supplement,wave1_topup,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음),01_collection/build_undergrad_target_list.py GROUP_TIER/TIER_SLOTS(근거 미기록) | evaluation_data:gold_pair.jsonl:pair::10026-06-9::105-87-3::t0;gold_pair.jsonl:pair::10026-06-9::105-87-3::t1;gold_pair.jsonl:pair::10026-06-9::105-87-3::t2,3,3,,combustible_reducing;metal;water,,MATCH,NOT_CHECKED,True,COLLECTED,UNSUPPORTED
10026-11-6,ZIRCONIUM TETRACHLORIDE,wave1,pool_supplement,wave1_topup,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음),01_collection/build_undergrad_target_list.py GROUP_TIER/TIER_SLOTS(근거 미기록) | evaluation_data:gold_pair.jsonl:pair::10026-11-6::506-87-6::t0;gold_pair.jsonl:pair::10026-11-6::506-87-6::t1;gold_pair.jsonl:pair::10026-11-6::506-87-6::t2,3,3,,combustible_reducing;metal;water,,ERROR,NOT_CHECKED,True,COLLECTED,UNSUPPORTED
10026-13-8,PHOSPHORUS PENTACHLORIDE,wave1,pool_supplement,wave1_topup,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음),01_collection/build_undergrad_target_list.py GROUP_TIER/TIER_SLOTS(근거 미기록) | evaluation_data:gold_pair.jsonl:pair::10025-73-7::10026-13-8::t0;gold_pair.jsonl:pair::10025-73-7::10026-13-8::t1;gold_pair.jsonl:pair::10025-73-7::10026-13-8::t2,3,3;32;50,oxidizer,combustible_reducing;metal;water,,MATCH,NOT_CHECKED,True,COLLECTED,UNSUPPORTED
1271-19-8,TITANOCENE DICHLORIDE,wave1,pool_topup,wave1_topup,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음),01_collection/build_undergrad_target_list.py GROUP_TIER/TIER_SLOTS(근거 미기록) | evaluation_data:gold_pair.jsonl:pair::12136-45-7::1271-19-8::t0;gold_pair.jsonl:pair::12136-45-7::1271-19-8::t1;gold_pair.jsonl:pair::12136-45-7::1271-19-8::t2,3,3;35;49,,no_data,,MATCH,NOT_CHECKED,True,COLLECTED,UNSUPPORTED
7664-93-9,SULFURIC ACID,wave1,curated_curriculum,curriculum,커리큘럼 실사용 근거: 일반화학 / 산-염기/탈수,01_collection/build_undergrad_target_list.py CURATED_LIST | evaluation_data:gold_pair.jsonl:pair::104-88-1::7664-93-9::t0;gold_pair.jsonl:pair::104-88-1::7664-93-9::t1;gold_pair.jsonl:pair::104-88-1::7664-93-9::t2,4,4,,combustible_reducing;metal;water,,MATCH,NOT_CHECKED,True,COLLECTED,KEEP_MANDATORY
7697-37-2,NITRIC ACID,wave1,curated_curriculum,curriculum,커리큘럼 실사용 근거: 일반화학 / 산화반응,01_collection/build_undergrad_target_list.py CURATED_LIST | evaluation_data:gold_pair.jsonl:pair::100-07-2::7697-37-2::t0;gold_pair.jsonl:pair::100-07-2::7697-37-2::t1;gold_pair.jsonl:pair::100-07-2::7697-37-2::t2,4,4,,combustible_reducing;metal;water,,MATCH,NOT_CHECKED,True,COLLECTED,KEEP_MANDATORY
42615-29-2,PHENYLSULPHONIC ACID,wave1,pool_replacement,wave1_topup,원 후보가 KOSHA 미등록이라 같은 그룹 내 다음 후보로 자동 대체,01_collection/backfill_group_replacements.py | evaluation_data:gold_pair.jsonl:pair::100-15-2::42615-29-2::t0;gold_pair.jsonl:pair::100-15-2::42615-29-2::t1;gold_pair.jsonl:pair::100-15-2::42615-29-2::t2,4,4,,combustible_reducing;water,,MATCH,NOT_CHECKED,True,COLLECTED,REVIEW
104-15-4,"TOLUENE SULFONIC ACID, LIQUID, WITH MORE THAN 5% FREE SULFURIC ACID",wave1,pool_supplement,wave1_topup,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음),01_collection/build_undergrad_target_list.py GROUP_TIER/TIER_SLOTS(근거 미기록) | evaluation_data:gold_pair.jsonl:pair::104-15-4::7553-56-2::t0;gold_pair.jsonl:pair::104-15-4::7553-56-2::t1;gold_pair.jsonl:pair::104-15-4::7553-56-2::t2,4,4,,metal,,MATCH,NOT_CHECKED,True,COLLECTED,UNSUPPORTED
1120-71-4,PROPANE SULTONE,wave1,pool_supplement,wave1_topup,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음),01_collection/build_undergrad_target_list.py GROUP_TIER/TIER_SLOTS(근거 미기록) | evaluation_data:gold_pair.jsonl:pair::1120-71-4::119-53-9::t0;gold_pair.jsonl:pair::1120-71-4::119-53-9::t1;gold_pair.jsonl:pair::1120-71-4::119-53-9::t2,4,4;66,,combustible_reducing;metal;water,,MATCH,NOT_CHECKED,True,COLLECTED,UNSUPPORTED
1333-39-7,"PHENOLSULFONIC ACID, LIQUID",wave1,pool_supplement,wave1_topup,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음),01_collection/build_undergrad_target_list.py GROUP_TIER/TIER_SLOTS(근거 미기록) | evaluation_data:gold_retrieval.jsonl:ans::B040808::1333-39-7;gold_abstain.jsonl:no_::I04::1333-39-7;gold_abstain.jsonl:no_::I20::1333-39-7,4,4,,combustible_reducing;water,,MATCH,NOT_CHECKED,True,COLLECTED,UNSUPPORTED
27176-87-0,DODECYLBENZENESULFONIC ACID,wave1,pool_topup,wave1_topup,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음),01_collection/build_undergrad_target_list.py GROUP_TIER/TIER_SLOTS(근거 미기록) | evaluation_data:gold_pair.jsonl:pair::1304-82-1::27176-87-0::t0;gold_pair.jsonl:pair::1304-82-1::27176-87-0::t1;gold_pair.jsonl:pair::1304-82-1::27176-87-0::t2,4,4,,metal,,ERROR,NOT_CHECKED,True,COLLECTED,UNSUPPORTED
107-35-7,L-TAURINE,wave1,pool_replacement,wave1_topup,원 후보가 KOSHA 미등록이라 같은 그룹 내 다음 후보로 자동 대체,01_collection/backfill_group_replacements.py | evaluation_data:gold_pair.jsonl:pair::1031-07-8::107-35-7::t0;gold_pair.jsonl:pair::1031-07-8::107-35-7::t1;gold_pair.jsonl:pair::1031-07-8::107-35-7::t2,5,5;14,,combustible_reducing;water,,MATCH,NOT_CHECKED,True,COLLECTED,REVIEW
10265-92-6,METHAMIDOPHOS,wave1,pool_supplement,wave1_topup,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음),01_collection/build_undergrad_target_list.py GROUP_TIER/TIER_SLOTS(근거 미기록) | evaluation_data:gold_pair.jsonl:pair::10265-92-6::1310-61-8::t0;gold_pair.jsonl:pair::10265-92-6::1310-61-8::t1;gold_pair.jsonl:pair::10265-92-6::1310-61-8::t2,5,5;27,,no_data,,MATCH,NOT_CHECKED,True,COLLECTED,UNSUPPORTED
124-38-9,CARBON DIOXIDE,reactive_basics,reactive_basics_tier2,section10_empirical,§10 전수조사(197종) 실측 1순위 반응 상대(물 등) 기본물질 보강,docs/decisions.md §1.2a-upd,5,5;48,,no_data,scarce_group:48,NOT_IN_REPORT,NOT_CHECKED,False,COLLECTED,KEEP_COVERAGE
105-16-8,"DIETHYLAMINOETHYLMETHACRYLATE, [LIQUID]",wave1,pool_supplement,wave1_topup,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음),01_collection/build_undergrad_target_list.py GROUP_TIER/TIER_SLOTS(근거 미기록) | evaluation_data:gold_pair.jsonl:pair::10026-17-2::105-16-8::t0;gold_pair.jsonl:pair::10026-17-2::105-16-8::t1;gold_pair.jsonl:pair::10026-17-2::105-16-8::t2,6,6;14;56,,combustible_reducing;water,,MATCH,NOT_CHECKED,True,COLLECTED,UNSUPPORTED
100-07-2,4-METHOXYBENZOYL CHLORIDE,wave1,pool_supplement,wave1_topup,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음),01_collection/build_undergrad_target_list.py GROUP_TIER/TIER_SLOTS(근거 미기록) | evaluation_data:gold_pair.jsonl:pair::100-07-2::105-59-9::t0;gold_pair.jsonl:pair::100-07-2::105-59-9::t1;gold_pair.jsonl:pair::100-07-2::105-59-9::t2,7,7,,no_data,,MATCH,NOT_CHECKED,True,COLLECTED,UNSUPPORTED
103-80-0,PHENYLACETYL CHLORIDE,wave1,pool_supplement,wave1_topup,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음),01_collection/build_undergrad_target_list.py GROUP_TIER/TIER_SLOTS(근거 미기록) | evaluation_data:gold_pair.jsonl:pair::103-80-0::109-53-5::t0;gold_pair.jsonl:pair::103-80-0::109-53-5::t1;gold_pair.jsonl:pair::103-80-0::109-53-5::t2,7,7,,metal;water,,MATCH,NOT_CHECKED,True,COLLECTED,UNSUPPORTED
64-17-5,ETHANOL,wave1,curated_curriculum,curriculum,커리큘럼 실사용 근거: 유기화학 / 재결정 용매,01_collection/build_undergrad_target_list.py CURATED_LIST | evaluation_data:gold_pair.jsonl:pair::506-87-6::64-17-5::t0;gold_pair.jsonl:pair::506-87-6::64-17-5::t1;gold_pair.jsonl:pair::506-87-6::64-17-5::t2,8,5;8;24;56,,no_data,,MATCH,NOT_CHECKED,True,COLLECTED,KEEP_MANDATORY
105-11-3,P-QUINONE DIOXIME,wave1,pool_replacement,wave1_topup,원 후보가 KOSHA 미등록이라 같은 그룹 내 다음 후보로 자동 대체,01_collection/backfill_group_replacements.py | evaluation_data:gold_pair.jsonl:pair::10294-26-5::105-11-3::t0;gold_pair.jsonl:pair::10294-26-5::105-11-3::t1;gold_pair.jsonl:pair::10294-26-5::105-11-3::t2,8,8;14;34,,combustible_reducing;water,,MATCH,NOT_CHECKED,True,COLLECTED,REVIEW
105-59-9,METHYLDIETHANOLAMINE,wave1,pool_replacement,wave1_topup,원 후보가 KOSHA 미등록이라 같은 그룹 내 다음 후보로 자동 대체,01_collection/backfill_group_replacements.py | evaluation_data:gold_pair.jsonl:pair::100-07-2::105-59-9::t0;gold_pair.jsonl:pair::100-07-2::105-59-9::t1;gold_pair.jsonl:pair::100-07-2::105-59-9::t2,8,8;14,,combustible_reducing;water,,MATCH,NOT_CHECKED,True,COLLECTED,REVIEW
106-24-1,GERANIOL,wave1,pool_replacement_v2,wave1_topup,원 후보가 KOSHA 미등록이라 같은 그룹 내 다음 후보로 자동 대체,01_collection/backfill_group_replacements.py | evaluation_data:gold_pair.jsonl:pair::1025-15-6::106-24-1::t0;gold_pair.jsonl:pair::1025-15-6::106-24-1::t1;gold_pair.jsonl:pair::1025-15-6::106-24-1::t2,8,8;34,,combustible_reducing;water,,MATCH,NOT_CHECKED,True,COLLECTED,REVIEW
100-51-6,BENZYL ALCOHOL,wave1,pool_supplement,wave1_topup,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음),01_collection/build_undergrad_target_list.py GROUP_TIER/TIER_SLOTS(근거 미기록) | evaluation_data:gold_pair.jsonl:pair::100-51-6::106-87-6::t0;gold_pair.jsonl:pair::100-51-6::106-87-6::t1;gold_pair.jsonl:pair::100-51-6::106-87-6::t2,8,8,,combustible_reducing;water,,MATCH,NOT_CHECKED,True,COLLECTED,UNSUPPORTED
10016-20-3,ALPHA-CYCLODEXTRIN,wave1,pool_supplement,wave1_topup,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음),01_collection/build_undergrad_target_list.py GROUP_TIER/TIER_SLOTS(근거 미기록) | evaluation_data:gold_pair.jsonl:pair::10016-20-3::110-13-4::t0;gold_pair.jsonl:pair::10016-20-3::110-13-4::t1;gold_pair.jsonl:pair::10016-20-3::110-13-4::t2,8,8,,combustible_reducing;water,,MATCH,NOT_CHECKED,True,COLLECTED,UNSUPPORTED
102-71-6,TRIETHANOLAMINE,wave1,pool_topup,wave1_topup,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음),01_collection/build_undergrad_target_list.py GROUP_TIER/TIER_SLOTS(근거 미기록) | evaluation_data:gold_pair.jsonl:pair::10039-54-0::102-71-6::t0;gold_pair.jsonl:pair::10039-54-0::102-71-6::t1;gold_pair.jsonl:pair::10039-54-0::102-71-6::t2,8,8;14,,combustible_reducing;water,,MATCH,NOT_CHECKED,True,COLLECTED,UNSUPPORTED
100-73-2,"ACROLEIN DIMER, STABILIZED",wave1,pool_supplement,wave1_topup,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음),01_collection/build_undergrad_target_list.py GROUP_TIER/TIER_SLOTS(근거 미기록) | evaluation_data:gold_pair.jsonl:pair::100-73-2::10043-01-3::t0;gold_pair.jsonl:pair::100-73-2::10043-01-3::t1;gold_pair.jsonl:pair::100-73-2::10043-01-3::t2,9,9;28;34;56,,no_data,,MATCH,NOT_CHECKED,True,COLLECTED,UNSUPPORTED
101-39-3,ALPHA-METHYLCINNAMALDEHYDE,wave1,pool_supplement,wave1_topup,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음),01_collection/build_undergrad_target_list.py GROUP_TIER/TIER_SLOTS(근거 미기록) | evaluation_data:gold_pair.jsonl:pair::101-39-3::7439-89-6::t0;gold_pair.jsonl:pair::101-39-3::7439-89-6::t1;gold_pair.jsonl:pair::101-39-3::7439-89-6::t2,9,9;34;35,,no_data,,MATCH,NOT_CHECKED,True,COLLECTED,UNSUPPORTED
115-19-5,2-METHYL-2-HYDROXY-3-BUTYNE,wave1,pool_supplement,wave1_topup,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음),01_collection/build_undergrad_target_list.py GROUP_TIER/TIER_SLOTS(근거 미기록) | evaluation_data:gold_pair.jsonl:pair::115-19-5::12136-45-7::t0;gold_pair.jsonl:pair::115-19-5::12136-45-7::t1;gold_pair.jsonl:pair::115-19-5::12136-45-7::t2,10,8;10,,no_data,scarce_group:10,MATCH,NOT_CHECKED,True,COLLECTED,KEEP_COVERAGE
101-27-9,BARBAN,wave1,pool_supplement,wave1_topup,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음),01_collection/build_undergrad_target_list.py GROUP_TIER/TIER_SLOTS(근거 미기록) | evaluation_data:gold_pair.jsonl:pair::101-27-9::11138-49-1::t0;gold_pair.jsonl:pair::101-27-9::11138-49-1::t1;gold_pair.jsonl:pair::101-27-9::11138-49-1::t2,11,11;16;20;31,,combustible_reducing;metal;water,scarce_group:11;20,MATCH,NOT_CHECKED,True,COLLECTED,KEEP_COVERAGE
57-13-6,UREA,wave1,curated_curriculum,curriculum,커리큘럼 실사용 근거: 무기화학 / 완충/염기반응,01_collection/build_undergrad_target_list.py CURATED_LIST,12,12;19;43;60,,combustible_reducing;water,,MATCH,NOT_CHECKED,False,COLLECTED,KEEP_MANDATORY
101-20-2,TRICLOCARBAN,wave1,pool_supplement,wave1_topup,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음),01_collection/build_undergrad_target_list.py GROUP_TIER/TIER_SLOTS(근거 미기록) | evaluation_data:gold_pair.jsonl:pair::101-20-2::105-48-6::t0;gold_pair.jsonl:pair::101-20-2::105-48-6::t1;gold_pair.jsonl:pair::101-20-2::105-48-6::t2,12,12;13;16,,no_data,,MATCH,NOT_CHECKED,True,COLLECTED,UNSUPPORTED
100-01-6,"P-NITROANILINE, [SOLID]",wave1,pool_supplement,wave1_topup,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음),01_collection/build_undergrad_target_list.py GROUP_TIER/TIER_SLOTS(근거 미기록) | evaluation_data:gold_pair.jsonl:pair::100-01-6::121-17-5::t0;gold_pair.jsonl:pair::100-01-6::121-17-5::t1;gold_pair.jsonl:pair::100-01-6::121-17-5::t2,13,13;46,,metal,,MATCH,NOT_CHECKED,True,COLLECTED,UNSUPPORTED
100-15-2,N-METHYL-4-NITROANILINE,wave1,pool_supplement,wave1_topup,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음),01_collection/build_undergrad_target_list.py GROUP_TIER/TIER_SLOTS(근거 미기록) | evaluation_data:gold_pair.jsonl:pair::100-15-2::42615-29-2::t0;gold_pair.jsonl:pair::100-15-2::42615-29-2::t1;gold_pair.jsonl:pair::100-15-2::42615-29-2::t2,13,13;46,,metal,,MATCH,NOT_CHECKED,True,COLLECTED,UNSUPPORTED
100-22-1,"N,N,N&#39;,N&#39;-TETRAMETHYL-P-PHENYLENEDIAMINE",wave1,pool_supplement,wave1_topup,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음),01_collection/build_undergrad_target_list.py GROUP_TIER/TIER_SLOTS(근거 미기록) | evaluation_data:gold_pair.jsonl:pair::100-22-1::1313-82-2::t0;gold_pair.jsonl:pair::100-22-1::1313-82-2::t1;gold_pair.jsonl:pair::100-22-1::1313-82-2::t2,14,14,,combustible_reducing;metal;water,,MATCH,NOT_CHECKED,True,COLLECTED,UNSUPPORTED
108-24-7,ACETIC ANHYDRIDE,wave1,curated_curriculum,curriculum,커리큘럼 실사용 근거: 유기화학 / 아세틸화 반응(발열주의),01_collection/build_undergrad_target_list.py CURATED_LIST | evaluation_data:gold_pair.jsonl:pair::108-24-7::60-00-4::t0;gold_pair.jsonl:pair::108-24-7::60-00-4::t1;gold_pair.jsonl:pair::108-24-7::60-00-4::t2,15,15,,combustible_reducing;metal;water,,MATCH,NOT_CHECKED,True,COLLECTED,KEEP_MANDATORY
106-31-0,BUTYRIC ANHYDRIDE,wave1,pool_supplement,wave1_topup,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음),01_collection/build_undergrad_target_list.py GROUP_TIER/TIER_SLOTS(근거 미기록) | evaluation_data:gold_pair.jsonl:pair::106-31-0::114-49-8::t0;gold_pair.jsonl:pair::106-31-0::114-49-8::t1;gold_pair.jsonl:pair::106-31-0::114-49-8::t2,15,15,,metal;water,,MATCH,NOT_CHECKED,True,COLLECTED,UNSUPPORTED
100-00-5,P-NITROCHLOROBENZENE,wave1,pool_supplement,wave1_topup,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음),01_collection/build_undergrad_target_list.py GROUP_TIER/TIER_SLOTS(근거 미기록) | evaluation_data:gold_pair.jsonl:pair::100-00-5::7772-98-7::t0;gold_pair.jsonl:pair::100-00-5::7772-98-7::t1;gold_pair.jsonl:pair::100-00-5::7772-98-7::t2,16,16;46,,no_data,,MATCH,NOT_CHECKED,True,COLLECTED,UNSUPPORTED
101-05-3,ANILAZINE,wave1,pool_supplement,wave1_topup,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음),01_collection/build_undergrad_target_list.py GROUP_TIER/TIER_SLOTS(근거 미기록) | evaluation_data:gold_pair.jsonl:pair::101-05-3::106-51-4::t0;gold_pair.jsonl:pair::101-05-3::106-51-4::t1;gold_pair.jsonl:pair::101-05-3::106-51-4::t2,16,14;16,,no_data,,MATCH,NOT_CHECKED,True,COLLECTED,UNSUPPORTED
100-16-3,"4-NITROPHENYLHYDRAZINE, [WETTED WITH NOT LESS THAN 30% WATER BY MASS]",wave1,pool_supplement,wave1_topup,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음),01_collection/build_undergrad_target_list.py GROUP_TIER/TIER_SLOTS(근거 미기록) | evaluation_data:gold_pair.jsonl:pair::100-16-3::10039-54-0::t0;gold_pair.jsonl:pair::100-16-3::10039-54-0::t1;gold_pair.jsonl:pair::100-16-3::10039-54-0::t2,17,17;46;68,water,,,MATCH,NOT_CHECKED,True,COLLECTED,UNSUPPORTED
1310-58-3,"POTASSIUM HYDROXIDE, SOLUTION",wave1,curated_curriculum,curriculum,커리큘럼 실사용 근거: 일반화학 / 적정/전해질,01_collection/build_undergrad_target_list.py CURATED_LIST | evaluation_data:gold_pair.jsonl:pair::1310-58-3::7786-81-4::t0;gold_pair.jsonl:pair::1310-58-3::7786-81-4::t1;gold_pair.jsonl:pair::1310-58-3::7786-81-4::t2,18,18;68,water,combustible_reducing;metal;water,,MATCH,NOT_CHECKED,True,COLLECTED,KEEP_MANDATORY
1310-73-2,SODIUM HYDROXIDE SOLUTION,wave1,curated_curriculum,curriculum,커리큘럼 실사용 근거: 일반화학 / 적정/비누화,01_collection/build_undergrad_target_list.py CURATED_LIST | evaluation_data:gold_pair.jsonl:pair::101-68-8::1310-73-2::t0;gold_pair.jsonl:pair::101-68-8::1310-73-2::t1;gold_pair.jsonl:pair::101-68-8::1310-73-2::t2,18,18;39;68,water,combustible_reducing;metal;water,,MATCH,NOT_CHECKED,True,COLLECTED,KEEP_MANDATORY
12136-45-7,POTASSIUM MONOXIDE,wave1,pool_replacement,wave1_topup,원 후보가 KOSHA 미등록이라 같은 그룹 내 다음 후보로 자동 대체,01_collection/backfill_group_replacements.py | evaluation_data:gold_pair.jsonl:pair::115-19-5::12136-45-7::t0;gold_pair.jsonl:pair::115-19-5::12136-45-7::t1;gold_pair.jsonl:pair::115-19-5::12136-45-7::t2,18,18,,combustible_reducing;metal;water,,MATCH,NOT_CHECKED,True,COLLECTED,REVIEW
