cas,chemical_name,cameo_groups,wave,category,selection_reason,evidence_source,evidence_strength,decision,review_note
10026-11-6,ZIRCONIUM TETRACHLORIDE,3,wave1,HAZARD-RELEVANT,KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(combustible_reducing;metal;water),msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군),INDEPENDENT,유지 권고,
10026-13-8,PHOSPHORUS PENTACHLORIDE,3;32;50,wave1,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(combustible_reducing;metal;water), 위험상호작용: oxidizer",msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군),INDEPENDENT,유지 권고,
1271-19-8,TITANOCENE DICHLORIDE,3;35;49,wave1,UNJUSTIFIED,"자동 그룹슬롯 보충 물질 — 자체 §10 근거 없음, 커리큘럼 근거 없음, 소속 그룹도 이미 회소하지 않음(다른 물질로 충분히 대표됨)","없음 (그룹 소속만 확인됨, 물질 단위 개별 근거 없음)",NONE,근거 부족/검토,"그룹조합 자체는 426종 내 유일하나, 그룹이 회소하지 않거나(그룹 내 다른 대표물질 이미 존재) 개별 위험성 근거가 아직 확인되지 않음"
7664-93-9,SULFURIC ACID,4,wave1,MANDATORY,커리큘럼 실사용 근거: 일반화학 / 산-염기/탈수,curated_curriculum (build_undergrad_target_list.py CURATED_LIST),INDEPENDENT,반드시 유지,
7697-37-2,NITRIC ACID,4,wave1,MANDATORY,커리큘럼 실사용 근거: 일반화학 / 산화반응,curated_curriculum (build_undergrad_target_list.py CURATED_LIST),INDEPENDENT,반드시 유지,
42615-29-2,PHENYLSULPHONIC ACID,4,wave1,UNJUSTIFIED,"자동 그룹슬롯 보충 물질 — 자체 §10 근거 없음, 커리큘럼 근거 없음, 소속 그룹도 이미 회소하지 않음(다른 물질로 충분히 대표됨)","없음 (그룹 소속만 확인됨, 물질 단위 개별 근거 없음)",NONE,중복 검토(REMOVE/MERGE 후보),"동일 CAMEO 그룹조합 보유 물질 5종과 역할 중복 가능: SULFURIC ACID(7664-93-9); NITRIC ACID(7697-37-2); TOLUENE SULFONIC ACID, LIQUID, WITH MORE THAN 5% FREE SULFURIC ACID(104-15-4); PHENOLSULFONIC ACID, LIQUID(1333-39-7); DODECYLBENZENESULFONIC ACID(27176-87-0) | §10.5에 범용 카테고리 문구('가연성 물질, 환원성 물질')만 있어 CASE 2 기준상 HAZARD-RELEVANT 단독 근거로 불충분(docs/hazard_relevant_sample_audit_2026-08-08.md)"
104-15-4,"TOLUENE SULFONIC ACID, LIQUID, WITH MORE THAN 5% FREE SULFURIC ACID",4,wave1,HAZARD-RELEVANT,KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(metal),msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군),INDEPENDENT,유지 권고,
1120-71-4,PROPANE SULTONE,4;66,wave1,HAZARD-RELEVANT,KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(combustible_reducing;metal),msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군),INDEPENDENT,유지 권고,
1333-39-7,"PHENOLSULFONIC ACID, LIQUID",4,wave1,UNJUSTIFIED,"자동 그룹슬롯 보충 물질 — 자체 §10 근거 없음, 커리큘럼 근거 없음, 소속 그룹도 이미 회소하지 않음(다른 물질로 충분히 대표됨)","없음 (그룹 소속만 확인됨, 물질 단위 개별 근거 없음)",NONE,중복 검토(REMOVE/MERGE 후보),"동일 CAMEO 그룹조합 보유 물질 5종과 역할 중복 가능: SULFURIC ACID(7664-93-9); NITRIC ACID(7697-37-2); PHENYLSULPHONIC ACID(42615-29-2); TOLUENE SULFONIC ACID, LIQUID, WITH MORE THAN 5% FREE SULFURIC ACID(104-15-4); DODECYLBENZENESULFONIC ACID(27176-87-0) | §10.5에 범용 카테고리 문구('가연성 물질, 환원성 물질')만 있어 CASE 2 기준상 HAZARD-RELEVANT 단독 근거로 불충분(docs/hazard_relevant_sample_audit_2026-08-08.md)"
27176-87-0,DODECYLBENZENESULFONIC ACID,4,wave1,HAZARD-RELEVANT,KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(metal),msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군),INDEPENDENT,유지 권고,
107-35-7,L-TAURINE,5;14,wave1,UNJUSTIFIED,"자동 그룹슬롯 보충 물질 — 자체 §10 근거 없음, 커리큘럼 근거 없음, 소속 그룹도 이미 회소하지 않음(다른 물질로 충분히 대표됨)","없음 (그룹 소속만 확인됨, 물질 단위 개별 근거 없음)",NONE,근거 부족/검토,"그룹조합 자체는 426종 내 유일하나, 그룹이 회소하지 않거나(그룹 내 다른 대표물질 이미 존재) 개별 위험성 근거가 아직 확인되지 않음 | §10.5에 범용 카테고리 문구('가연성 물질, 환원성 물질')만 있어 CASE 2 기준상 HAZARD-RELEVANT 단독 근거로 불충분(docs/hazard_relevant_sample_audit_2026-08-08.md)"
10265-92-6,METHAMIDOPHOS,5;27,wave1,UNJUSTIFIED,"자동 그룹슬롯 보충 물질 — 자체 §10 근거 없음, 커리큘럼 근거 없음, 소속 그룹도 이미 회소하지 않음(다른 물질로 충분히 대표됨)","없음 (그룹 소속만 확인됨, 물질 단위 개별 근거 없음)",NONE,근거 부족/검토,"그룹조합 자체는 426종 내 유일하나, 그룹이 회소하지 않거나(그룹 내 다른 대표물질 이미 존재) 개별 위험성 근거가 아직 확인되지 않음"
124-38-9,CARBON DIOXIDE,5;48,reactive_basics,REPRESENTATIVE,CAMEO 그룹 48(Not Chemically Reactive agents) 대표물질 — 426종 내 이 그룹 확보물질 2종뿐,"chemical_group_membership (CAMEO 그룹 회소성, 426종 내 재계산)",INDEPENDENT,유지 권고,희소 그룹: 48(Not Chemically Reactive agents)
105-16-8,"DIETHYLAMINOETHYLMETHACRYLATE, [LIQUID]",6;14;56,wave1,UNJUSTIFIED,"자동 그룹슬롯 보충 물질 — 자체 §10 근거 없음, 커리큘럼 근거 없음, 소속 그룹도 이미 회소하지 않음(다른 물질로 충분히 대표됨)","없음 (그룹 소속만 확인됨, 물질 단위 개별 근거 없음)",NONE,근거 부족/검토,"그룹조합 자체는 426종 내 유일하나, 그룹이 회소하지 않거나(그룹 내 다른 대표물질 이미 존재) 개별 위험성 근거가 아직 확인되지 않음 | §10.5에 범용 카테고리 문구('가연성 물질, 환원성 물질')만 있어 CASE 2 기준상 HAZARD-RELEVANT 단독 근거로 불충분(docs/hazard_relevant_sample_audit_2026-08-08.md)"
100-07-2,4-METHOXYBENZOYL CHLORIDE,7,wave1,UNJUSTIFIED,"자동 그룹슬롯 보충 물질 — 자체 §10 근거 없음, 커리큘럼 근거 없음, 소속 그룹도 이미 회소하지 않음(다른 물질로 충분히 대표됨)","없음 (그룹 소속만 확인됨, 물질 단위 개별 근거 없음)",NONE,중복 검토(REMOVE/MERGE 후보),동일 CAMEO 그룹조합 보유 물질 1종과 역할 중복 가능: PHENYLACETYL CHLORIDE(103-80-0)
103-80-0,PHENYLACETYL CHLORIDE,7,wave1,HAZARD-RELEVANT,KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(metal;water),msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군),INDEPENDENT,유지 권고,
64-17-5,ETHANOL,5;8;24;56,wave1,MANDATORY,커리큘럼 실사용 근거: 유기화학 / 재결정 용매,curated_curriculum (build_undergrad_target_list.py CURATED_LIST),INDEPENDENT,반드시 유지,
105-11-3,P-QUINONE DIOXIME,8;14;34,wave1,UNJUSTIFIED,"자동 그룹슬롯 보충 물질 — 자체 §10 근거 없음, 커리큘럼 근거 없음, 소속 그룹도 이미 회소하지 않음(다른 물질로 충분히 대표됨)","없음 (그룹 소속만 확인됨, 물질 단위 개별 근거 없음)",NONE,근거 부족/검토,"그룹조합 자체는 426종 내 유일하나, 그룹이 회소하지 않거나(그룹 내 다른 대표물질 이미 존재) 개별 위험성 근거가 아직 확인되지 않음 | §10.5에 범용 카테고리 문구('가연성 물질, 환원성 물질')만 있어 CASE 2 기준상 HAZARD-RELEVANT 단독 근거로 불충분(docs/hazard_relevant_sample_audit_2026-08-08.md)"
105-59-9,METHYLDIETHANOLAMINE,8;14,wave1,UNJUSTIFIED,"자동 그룹슬롯 보충 물질 — 자체 §10 근거 없음, 커리큘럼 근거 없음, 소속 그룹도 이미 회소하지 않음(다른 물질로 충분히 대표됨)","없음 (그룹 소속만 확인됨, 물질 단위 개별 근거 없음)",NONE,중복 검토(REMOVE/MERGE 후보),"동일 CAMEO 그룹조합 보유 물질 1종과 역할 중복 가능: TRIETHANOLAMINE(102-71-6) | §10.5에 범용 카테고리 문구('가연성 물질, 환원성 물질')만 있어 CASE 2 기준상 HAZARD-RELEVANT 단독 근거로 불충분(docs/hazard_relevant_sample_audit_2026-08-08.md)"
106-24-1,GERANIOL,8;34,wave1,UNJUSTIFIED,"자동 그룹슬롯 보충 물질 — 자체 §10 근거 없음, 커리큘럼 근거 없음, 소속 그룹도 이미 회소하지 않음(다른 물질로 충분히 대표됨)","없음 (그룹 소속만 확인됨, 물질 단위 개별 근거 없음)",NONE,근거 부족/검토,"그룹조합 자체는 426종 내 유일하나, 그룹이 회소하지 않거나(그룹 내 다른 대표물질 이미 존재) 개별 위험성 근거가 아직 확인되지 않음 | §10.5에 범용 카테고리 문구('가연성 물질, 환원성 물질')만 있어 CASE 2 기준상 HAZARD-RELEVANT 단독 근거로 불충분(docs/hazard_relevant_sample_audit_2026-08-08.md)"
100-51-6,BENZYL ALCOHOL,8,wave1,UNJUSTIFIED,"자동 그룹슬롯 보충 물질 — 자체 §10 근거 없음, 커리큘럼 근거 없음, 소속 그룹도 이미 회소하지 않음(다른 물질로 충분히 대표됨)","없음 (그룹 소속만 확인됨, 물질 단위 개별 근거 없음)",NONE,중복 검토(REMOVE/MERGE 후보),"동일 CAMEO 그룹조합 보유 물질 1종과 역할 중복 가능: ALPHA-CYCLODEXTRIN(10016-20-3) | §10.5에 범용 카테고리 문구('가연성 물질, 환원성 물질')만 있어 CASE 2 기준상 HAZARD-RELEVANT 단독 근거로 불충분(docs/hazard_relevant_sample_audit_2026-08-08.md)"
10016-20-3,ALPHA-CYCLODEXTRIN,8,wave1,UNJUSTIFIED,"자동 그룹슬롯 보충 물질 — 자체 §10 근거 없음, 커리큘럼 근거 없음, 소속 그룹도 이미 회소하지 않음(다른 물질로 충분히 대표됨)","없음 (그룹 소속만 확인됨, 물질 단위 개별 근거 없음)",NONE,중복 검토(REMOVE/MERGE 후보),"동일 CAMEO 그룹조합 보유 물질 1종과 역할 중복 가능: BENZYL ALCOHOL(100-51-6) | §10.5에 범용 카테고리 문구('가연성 물질, 환원성 물질')만 있어 CASE 2 기준상 HAZARD-RELEVANT 단독 근거로 불충분(docs/hazard_relevant_sample_audit_2026-08-08.md)"
102-71-6,TRIETHANOLAMINE,8;14,wave1,UNJUSTIFIED,"자동 그룹슬롯 보충 물질 — 자체 §10 근거 없음, 커리큘럼 근거 없음, 소속 그룹도 이미 회소하지 않음(다른 물질로 충분히 대표됨)","없음 (그룹 소속만 확인됨, 물질 단위 개별 근거 없음)",NONE,중복 검토(REMOVE/MERGE 후보),"동일 CAMEO 그룹조합 보유 물질 1종과 역할 중복 가능: METHYLDIETHANOLAMINE(105-59-9) | §10.5에 범용 카테고리 문구('가연성 물질, 환원성 물질')만 있어 CASE 2 기준상 HAZARD-RELEVANT 단독 근거로 불충분(docs/hazard_relevant_sample_audit_2026-08-08.md)"
100-73-2,"ACROLEIN DIMER, STABILIZED",9;28;34;56,wave1,UNJUSTIFIED,"자동 그룹슬롯 보충 물질 — 자체 §10 근거 없음, 커리큘럼 근거 없음, 소속 그룹도 이미 회소하지 않음(다른 물질로 충분히 대표됨)","없음 (그룹 소속만 확인됨, 물질 단위 개별 근거 없음)",NONE,근거 부족/검토,"그룹조합 자체는 426종 내 유일하나, 그룹이 회소하지 않거나(그룹 내 다른 대표물질 이미 존재) 개별 위험성 근거가 아직 확인되지 않음"
101-39-3,ALPHA-METHYLCINNAMALDEHYDE,9;34;35,wave1,UNJUSTIFIED,"자동 그룹슬롯 보충 물질 — 자체 §10 근거 없음, 커리큘럼 근거 없음, 소속 그룹도 이미 회소하지 않음(다른 물질로 충분히 대표됨)","없음 (그룹 소속만 확인됨, 물질 단위 개별 근거 없음)",NONE,근거 부족/검토,"그룹조합 자체는 426종 내 유일하나, 그룹이 회소하지 않거나(그룹 내 다른 대표물질 이미 존재) 개별 위험성 근거가 아직 확인되지 않음"
115-19-5,2-METHYL-2-HYDROXY-3-BUTYNE,8;10,wave1,REPRESENTATIVE,"CAMEO 그룹 10(Alkynes, with Acetylenic Hydrogen) 대표물질 — 426종 내 이 그룹 확보물질 1종뿐","chemical_group_membership (CAMEO 그룹 회소성, 426종 내 재계산)",INDEPENDENT,유지 권고,"희소 그룹: 10(Alkynes, with Acetylenic Hydrogen)"
101-27-9,BARBAN,11;16;20;31,wave1,HAZARD-RELEVANT,KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(combustible_reducing;metal),msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군),INDEPENDENT,유지 권고,
57-13-6,UREA,12;19;43;60,wave1,MANDATORY,커리큘럼 실사용 근거: 무기화학 / 완충/염기반응,curated_curriculum (build_undergrad_target_list.py CURATED_LIST),INDEPENDENT,반드시 유지,
101-20-2,TRICLOCARBAN,12;13;16,wave1,UNJUSTIFIED,"자동 그룹슬롯 보충 물질 — 자체 §10 근거 없음, 커리큘럼 근거 없음, 소속 그룹도 이미 회소하지 않음(다른 물질로 충분히 대표됨)","없음 (그룹 소속만 확인됨, 물질 단위 개별 근거 없음)",NONE,근거 부족/검토,"그룹조합 자체는 426종 내 유일하나, 그룹이 회소하지 않거나(그룹 내 다른 대표물질 이미 존재) 개별 위험성 근거가 아직 확인되지 않음"
100-01-6,"P-NITROANILINE, [SOLID]",13;46,wave1,HAZARD-RELEVANT,KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(metal),msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군),INDEPENDENT,유지 권고,
100-15-2,N-METHYL-4-NITROANILINE,13;46,wave1,HAZARD-RELEVANT,KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(metal),msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군),INDEPENDENT,유지 권고,
100-22-1,"N,N,N&#39;,N&#39;-TETRAMETHYL-P-PHENYLENEDIAMINE",14,wave1,HAZARD-RELEVANT,KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(combustible_reducing;metal),msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군),INDEPENDENT,유지 권고,
108-24-7,ACETIC ANHYDRIDE,15,wave1,MANDATORY,커리큘럼 실사용 근거: 유기화학 / 아세틸화 반응(발열주의),curated_curriculum (build_undergrad_target_list.py CURATED_LIST),INDEPENDENT,반드시 유지,
106-31-0,BUTYRIC ANHYDRIDE,15,wave1,HAZARD-RELEVANT,KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(metal;water),msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군),INDEPENDENT,유지 권고,
100-00-5,P-NITROCHLOROBENZENE,16;46,wave1,UNJUSTIFIED,"자동 그룹슬롯 보충 물질 — 자체 §10 근거 없음, 커리큘럼 근거 없음, 소속 그룹도 이미 회소하지 않음(다른 물질로 충분히 대표됨)","없음 (그룹 소속만 확인됨, 물질 단위 개별 근거 없음)",NONE,근거 부족/검토,"그룹조합 자체는 426종 내 유일하나, 그룹이 회소하지 않거나(그룹 내 다른 대표물질 이미 존재) 개별 위험성 근거가 아직 확인되지 않음"
101-05-3,ANILAZINE,14;16,wave1,UNJUSTIFIED,"자동 그룹슬롯 보충 물질 — 자체 §10 근거 없음, 커리큘럼 근거 없음, 소속 그룹도 이미 회소하지 않음(다른 물질로 충분히 대표됨)","없음 (그룹 소속만 확인됨, 물질 단위 개별 근거 없음)",NONE,근거 부족/검토,"그룹조합 자체는 426종 내 유일하나, 그룹이 회소하지 않거나(그룹 내 다른 대표물질 이미 존재) 개별 위험성 근거가 아직 확인되지 않음"
100-16-3,"4-NITROPHENYLHYDRAZINE, [WETTED WITH NOT LESS THAN 30% WATER BY MASS]",17;46;68,wave1,UNJUSTIFIED,"자동 그룹슬롯 보충 물질 — 자체 §10 근거 없음, 커리큘럼 근거 없음, 소속 그룹도 이미 회소하지 않음(다른 물질로 충분히 대표됨)","없음 (그룹 소속만 확인됨, 물질 단위 개별 근거 없음)",NONE,중복 검토(REMOVE/MERGE 후보),"동일 CAMEO 그룹조합 보유 물질 2종과 역할 중복 가능: CYCLOTRIMETHYLENE TRINITRAMINE, [DESENSITIZED](121-82-4); CYCLOTETRAMETHYLENE TETRANITRAMINE, [WET WITH &gt;= 10% WATER](2691-41-0)"
1310-58-3,"POTASSIUM HYDROXIDE, SOLUTION",18;68,wave1,MANDATORY,커리큘럼 실사용 근거: 일반화학 / 적정/전해질,curated_curriculum (build_undergrad_target_list.py CURATED_LIST),INDEPENDENT,반드시 유지,
1310-73-2,SODIUM HYDROXIDE SOLUTION,18;39;68,wave1,MANDATORY,커리큘럼 실사용 근거: 일반화학 / 적정/비누화,curated_curriculum (build_undergrad_target_list.py CURATED_LIST),INDEPENDENT,반드시 유지,
12136-45-7,POTASSIUM MONOXIDE,18,wave1,HAZARD-RELEVANT,KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(combustible_reducing;metal),msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군),INDEPENDENT,유지 권고,
100-57-2,PHENYLMERCURIC HYDROXIDE,18;49,wave1,UNJUSTIFIED,"자동 그룹슬롯 보충 물질 — 자체 §10 근거 없음, 커리큘럼 근거 없음, 소속 그룹도 이미 회소하지 않음(다른 물질로 충분히 대표됨)","없음 (그룹 소속만 확인됨, 물질 단위 개별 근거 없음)",NONE,근거 부족/검토,"그룹조합 자체는 426종 내 유일하나, 그룹이 회소하지 않거나(그룹 내 다른 대표물질 이미 존재) 개별 위험성 근거가 아직 확인되지 않음"
11138-49-1,"SODIUM ALUMINATE, SOLUTION",18;68,wave1,UNJUSTIFIED,"자동 그룹슬롯 보충 물질 — 자체 §10 근거 없음, 커리큘럼 근거 없음, 소속 그룹도 이미 회소하지 않음(다른 물질로 충분히 대표됨)","없음 (그룹 소속만 확인됨, 물질 단위 개별 근거 없음)",NONE,중복 검토(REMOVE/MERGE 후보),"동일 CAMEO 그룹조합 보유 물질 4종과 역할 중복 가능: POTASSIUM HYDROXIDE, SOLUTION(1310-58-3); LITHIUM HYDROXIDE, SOLUTION(1310-65-2); RUBIDIUM HYDROXIDE(1310-82-3); CESIUM HYDROXIDE(21351-79-1) | §10.5에 범용 카테고리 문구('가연성 물질, 환원성 물질')만 있어 CASE 2 기준상 HAZARD-RELEVANT 단독 근거로 불충분(docs/hazard_relevant_sample_audit_2026-08-08.md)"
12030-88-5,POTASSIUM SUPEROXIDE,18;50,wave1,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(combustible_reducing;water), 위험상호작용: oxidizer",msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군),INDEPENDENT,유지 권고,
12031-80-0,LITHIUM PEROXIDE,18;50,wave1,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(combustible_reducing;water), 위험상호작용: oxidizer",msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군),INDEPENDENT,유지 권고,
1336-21-6,AMMONIUM HYDROXIDE,19;68,wave1,MANDATORY,커리큘럼 실사용 근거: 일반화학 / 착물형성/완충,curated_curriculum (build_undergrad_target_list.py CURATED_LIST),INDEPENDENT,반드시 유지,
12124-99-1,"AMMONIUM HYDROSULFIDE, SOLUTION",18;19;63;68,wave1,UNJUSTIFIED,"자동 그룹슬롯 보충 물질 — 자체 §10 근거 없음, 커리큘럼 근거 없음, 소속 그룹도 이미 회소하지 않음(다른 물질로 충분히 대표됨)","없음 (그룹 소속만 확인됨, 물질 단위 개별 근거 없음)",NONE,근거 부족/검토,"그룹조합 자체는 426종 내 유일하나, 그룹이 회소하지 않거나(그룹 내 다른 대표물질 이미 존재) 개별 위험성 근거가 아직 확인되지 않음"
1305-62-0,CALCIUM HYDROXIDE,19,wave1,UNJUSTIFIED,"자동 그룹슬롯 보충 물질 — 자체 §10 근거 없음, 커리큘럼 근거 없음, 소속 그룹도 이미 회소하지 않음(다른 물질로 충분히 대표됨)","없음 (그룹 소속만 확인됨, 물질 단위 개별 근거 없음)",NONE,근거 부족/검토,"그룹조합 자체는 426종 내 유일하나, 그룹이 회소하지 않거나(그룹 내 다른 대표물질 이미 존재) 개별 위험성 근거가 아직 확인되지 않음 | §10.5에 범용 카테고리 문구('가연성 물질, 환원성 물질')만 있어 CASE 2 기준상 HAZARD-RELEVANT 단독 근거로 불충분(docs/hazard_relevant_sample_audit_2026-08-08.md)"
1310-61-8,POTASSIUM HYDROSULFIDE,19;63,wave1,HAZARD-RELEVANT,KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(water),msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군),INDEPENDENT,유지 권고,
1313-82-2,"SODIUM SULFIDE, ANHYDROUS",19;63;68,wave1,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(water), 위험상호작용: water",msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군),INDEPENDENT,유지 권고,
13983-17-0,WOLLASTONITE,19;61;62,wave1,REPRESENTATIVE,CAMEO 그룹 62(Siloxanes) 대표물질 — 426종 내 이 그룹 확보물질 2종뿐,"chemical_group_membership (CAMEO 그룹 회소성, 426종 내 재계산)",INDEPENDENT,유지 권고,"희소 그룹: 62(Siloxanes) | §10.5에 범용 카테고리 문구('가연성 물질, 환원성 물질')만 있어 CASE 2 기준상 HAZARD-RELEVANT 단독 근거로 불충분(docs/hazard_relevant_sample_audit_2026-08-08.md)"
