substance,cas,selection_category,selection_reason,cameo_group,evidence_basis
BARBAN,101-27-9,HAZARD-RELEVANT,KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(combustible_reducing;metal),11;16;20;31,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
MERCUROUS CHLORIDE,10112-91-1,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(combustible_reducing;metal), 위험상호작용: metal",42;47,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
"AMMONIUM BISULFITE, SOLID",10192-30-0,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(combustible_reducing;metal), 위험상호작용: water",60;65;68,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
THIOCARBANILIDE,102-08-9,HAZARD-RELEVANT,KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(combustible_reducing;metal),12;35;64,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
MOLYBDENUM PENTACHLORIDE,10241-05-1,HAZARD-RELEVANT,KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(metal;water),32,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
PHENYLACETYL CHLORIDE,103-80-0,HAZARD-RELEVANT,KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(metal;water),7,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
"TOLUENE SULFONIC ACID, LIQUID, WITH MORE THAN 5% FREE SULFURIC ACID",104-15-4,HAZARD-RELEVANT,KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(metal),4,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
ISOPROPYL CHLOROACETATE,105-48-6,HAZARD-RELEVANT,KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(metal;water),27;31,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
BUTYRIC ANHYDRIDE,106-31-0,HAZARD-RELEVANT,KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(metal;water),15,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
BENZOQUINONE,106-51-4,HAZARD-RELEVANT,KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(metal),38,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
1-VINYL-3-CYCLOHEXENE DIOXIDE,106-87-6,HAZARD-RELEVANT,KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(metal),26;56,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
1-CHLORO-2-BROMOETHANE,107-04-0,HAZARD-RELEVANT,KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(metal),31,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
BIS(2-CHLORO-1-METHYLETHYL)ETHER,108-60-1,HAZARD-RELEVANT,KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(metal),28;31,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
"PHENOL SOLUTION, [AQUEOUS]",108-95-2,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(metal), 위험상호작용: water",5;55;68,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
PENTANOIC ACID,109-52-4,HAZARD-RELEVANT,KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(combustible_reducing;metal),2,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
PROPANE SULTONE,1120-71-4,HAZARD-RELEVANT,KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(combustible_reducing;metal),4;66,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
QUERCETIN,117-39-5,HAZARD-RELEVANT,KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(combustible_reducing;metal),38;55,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
DICHLONE,117-80-6,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(combustible_reducing;metal), 위험상호작용: water",16;38;68,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
POTASSIUM SUPEROXIDE,12030-88-5,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(combustible_reducing;water), 위험상호작용: oxidizer",18;50,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
LITHIUM PEROXIDE,12031-80-0,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(combustible_reducing;water), 위험상호작용: oxidizer",18;50,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
NICKEL SUBSULFIDE,12035-72-2,HAZARD-RELEVANT,KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(combustible_reducing;metal),63,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
MAGNESIUM PHOSPHIDE,12057-74-8,HAZARD-RELEVANT,KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(water),44,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
AMMONIUM FLUORIDE,12125-01-8,HAZARD-RELEVANT,KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(combustible_reducing;metal),29;60,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
POTASSIUM MONOXIDE,12136-45-7,HAZARD-RELEVANT,KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(combustible_reducing;metal),18,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
"1,2-DIPHENYLHYDRAZINE",122-66-7,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(combustible_reducing;metal), 위험상호작용: reducer",14;17;35;58,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
"HEXAMETHYLENEDIAMINE, SOLID",124-09-4,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(metal), 위험상호작용: water",14;68,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
SODIUM PENTACHLOROPHENATE,131-52-2,HAZARD-RELEVANT,KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(combustible_reducing;metal),16;54,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
POTASSIUM HYDROSULFIDE,1310-61-8,HAZARD-RELEVANT,KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(water),19;63,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
"LITHIUM HYDROXIDE, SOLUTION",1310-65-2,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(combustible_reducing;metal), 위험상호작용: water",18;68,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
RUBIDIUM HYDROXIDE,1310-82-3,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(combustible_reducing;metal), 위험상호작용: water",18;68,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
"POTASSIUM SULFIDE, HYDRATED, WITH NOT LESS THAN 30% WATER OF CRYSTALLIZATION",1312-73-8,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(water), 위험상호작용: water",63;68,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
"SODIUM SULFIDE, ANHYDROUS",1313-82-2,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(water), 위험상호작용: water",19;63;68,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
STRONTIUM PEROXIDE,1314-18-7,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(combustible_reducing;water), 위험상호작용: oxidizer",18;50,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
ZINC PEROXIDE,1314-22-3,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(combustible_reducing;water), 위험상호작용: oxidizer",50,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
"SODIUM BIFLUORIDE, SOLID",1333-83-1,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(combustible_reducing;metal), 위험상호작용: water",29;60;68,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
"AMMONIUM BIFLUORIDE, SOLID",1341-49-7,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(combustible_reducing;metal), 위험상호작용: water",29;60;68,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
SODIUM VANADATE,13718-26-8,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(combustible_reducing;metal), 위험상호작용: oxidizer",51;61,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
BARIUM SELENITE,13718-59-7,HAZARD-RELEVANT,KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(combustible_reducing;metal),65,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
MAGNESIUM BISULFITE SOLUTION,13774-25-9,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(combustible_reducing;metal), 위험상호작용: water",65;68,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
LEAD FLUOBORATE,13814-96-5,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(combustible_reducing;metal), 위험상호작용: water",47;68,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
ZINC FLUOROBORATE,13826-88-5,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(combustible_reducing;metal), 위험상호작용: water",60;68,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
ZINC DICHROMATE,14018-95-2,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(combustible_reducing;metal), 위험상호작용: oxidizer",50;61,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
SODIUM CYANIDE,143-33-9,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(metal;water), 위험상호작용: water",19;24;68,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
CADMIUM FLUOROBORATE,14486-19-2,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(combustible_reducing;metal), 위험상호작용: water",60;68,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
NICKEL FLUOROBORATE,14708-14-6,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(combustible_reducing;metal), 위험상호작용: water",47;68,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
CHROMIUM OXYCHLORIDE,14977-61-8,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(combustible_reducing;metal;water), 위험상호작용: oxidizer",32;50,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
POTASSIUM CYANIDE,151-50-8,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(metal;water), 위험상호작용: water",19;24;68,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
MERCUROUS BROMIDE,15385-58-7,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(combustible_reducing;metal), 위험상호작용: metal",42;47,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
"SODIUM HYDROSULFIDE, SOLID, WITH LESS THAN 25% WATER OF CRYSTALLIZATION",16721-80-5,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(combustible_reducing;metal), 위험상호작용: water",19;63;68,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
HEXAFLUOROPHOSPHORIC ACID,16940-81-1,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(combustible_reducing;metal), 위험상호작용: water",3;29;68,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
FLUOROSILICIC ACID,16961-83-4,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(combustible_reducing;metal), 위험상호작용: water",3;29;68,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
POTASSIUM PEROXIDE,17014-71-0,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(combustible_reducing;metal;water), 위험상호작용: oxidizer",18;50,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
THIOUREA DIOXIDE,1758-73-2,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(water), 위험상호작용: reducer",5;12;59,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
OSMIUM TETROXIDE,20816-12-0,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(combustible_reducing;metal), 위험상호작용: oxidizer",50,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
CESIUM HYDROXIDE,21351-79-1,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(metal;water), 위험상호작용: water",18;68,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
DODECYLBENZENESULFONIC ACID,27176-87-0,HAZARD-RELEVANT,KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(metal),4,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
GLYOXYLIC ACID (50% OR LESS),298-12-4,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(combustible_reducing;metal), 위험상호작용: water",2;68,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
COPPER FLUOROBORATE,38465-60-0,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(combustible_reducing;metal), 위험상호작용: water",47;68,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
HYDROXYLAMINE HYDROCHLORIDE,5470-11-1,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(combustible_reducing;metal), 위험상호작용: reducer",58;60,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
1-ACETYL-2-THIOUREA,591-08-2,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(combustible_reducing;metal), 위험상호작용: reducer",12;59;64,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
HYPOPHOSPHOROUS ACID,6303-21-5,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(combustible_reducing;metal), 위험상호작용: reducer",5;58,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
POTASSIUM OXALATE MONOHYDRATE,6487-48-5,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(combustible_reducing;metal), 위험상호작용: reducer",59;61,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
"ALUMINUM POWDER, COATED",7429-90-5,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(water), 위험상호작용: metal",41,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
"IRON, [POWDERED]",7439-89-6,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(water), 위험상호작용: metal",41,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
LITHIUM,7439-93-2,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(water), 위험상호작용: metal",40,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
MAGNESIUM,7439-95-4,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(water), 위험상호작용: metal",41,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
MANGANESE,7439-96-5,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(water), 위험상호작용: metal",42,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
MOLYBDENUM,7439-98-7,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(water), 위험상호작용: metal",42,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
NICKEL,7440-02-0,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(water), 위험상호작용: metal",41,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
PLATINUM,7440-06-4,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(water), 위험상호작용: metal",42,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
RHODIUM (METAL FUME),7440-16-6,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(water), 위험상호작용: metal",42,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
RUBIDIUM,7440-17-7,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(water), 위험상호작용: metal",40,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
"SILICON POWDER, AMORPHOUS",7440-21-3,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(water), 위험상호작용: metal",41,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
TANTALUM (METAL AND OXIDE DUST),7440-25-7,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(water), 위험상호작용: metal",41,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
"TITANIUM POWDER, DRY",7440-32-6,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(water), 위험상호작용: metal;water",41;68,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
TUNGSTEN,7440-33-7,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(water), 위험상호작용: metal",42,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
ANTIMONY POWDER,7440-36-0,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(water), 위험상호작용: metal",41,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
BARIUM,7440-39-3,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(water), 위험상호작용: metal",41,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
"BERYLLIUM COMPOUND, N.O.S.",7440-41-7,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(metal), 위험상호작용: metal",36;41,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
"CERIUM, SLABS, INGOTS OR RODS",7440-45-1,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(water), 위험상호작용: metal",41,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
CESIUM,7440-46-2,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(water), 위험상호작용: metal",40,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
COBALT,7440-48-4,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(water), 위험상호작용: metal",41,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
"HAFNIUM POWDER, DRY",7440-58-6,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(water), 위험상호작용: metal;water",41;68,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
YTTRIUM,7440-65-5,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(water), 위험상호작용: metal",41,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
ZIRCONIUM POWDER WET,7440-67-7,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(water), 위험상호작용: metal;water",41;68,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
CALCIUM,7440-70-2,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(water), 위험상호작용: metal",41,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
INDIUM,7440-74-6,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(water), 위험상호작용: metal",41,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
SELENIUM DIOXIDE,7446-08-4,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(combustible_reducing;metal), 위험상호작용: oxidizer",50,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
"ALUMINUM CHLORIDE, ANHYDROUS",7446-70-0,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(combustible_reducing;metal;water), 위험상호작용: water",3;32;68,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
MERCURIC CHLORIDE,7487-94-7,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(combustible_reducing;metal), 위험상호작용: metal",42;60,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
TRICHLOROACETIC ACID,76-03-9,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(metal), 위험상호작용: water",2;31;68,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
SODIUM BISULFITE,7631-90-5,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(combustible_reducing;metal), 위험상호작용: water",65;68,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
